v_km_s,M1_dark_photon_massive_sigma_cm2g,M2_scalar_phi_massive_sigma_cm2g,M3_massless_control_sigma_cm2g,M1_dark_photon_massive_r_diss,M2_scalar_phi_massive_r_diss,M3_massless_control_r_diss
10.0,462472.58953429887,299017.7971086913,1553470.452770947,1.0,1.0,1.05
10.293493961127174,414225.875110891,268629.01647673745,1386016.4111837451,1.0,1.0,1.05
10.59560179277616,371001.1333735316,241311.2688967723,1236609.4678950566,1.0,1.0,1.05
10.906576306844965,332276.92182911956,216756.23272590913,1103304.9973295676,1.0,1.0,1.05
11.226677735108137,297585.79236975254,194686.30174768416,984367.8715411432,1.0,1.0,1.05
11.556173946985648,266508.71728579456,174851.5535405841,878249.8952671945,1.0,1.0,1.05
11.895340673703195,238670.0887338312,157027.0137047304,783569.6709421992,1.0,1.0,1.05
12.24446173903143,213733.23288907413,141010.18747709814,699094.6320506462,1.0,1.0,1.05
12.603829296797274,191396.38600853467,126618.83295648659,623725.0113605428,1.0,1.0,1.05
12.97374407536605,171389.08501922438,113688.95260191134,556479.5357089405,1.0,1.0,1.05
13.354515629298987,153468.93008619593,102072.9818843474,496482.6614367439,1.0,1.0,1.05
13.746462598396759,137418.68096371615,91638.15598212808,442953.18458236364,1.0,1.0,1.05
14.149912974345758,123043.65283900188,82265.03723334984,395194.0778022435,1.0,1.0,1.05
14.565204375190312,110169.38088650606,73846.18771131324,352583.42192270607,1.0,1.0,1.05
14.992684327860456,98639.52590195453,66284.97278682709,314566.31424870214,1.0,1.0,1.05
15.432710558991761,88313.99621541175,59494.4828982459,280647.6484455122,1.0,1.0,1.05
15.885651294280526,79067.26362415894,53396.56197929972,250385.67213396548,1.0,1.0,1.05
16.35188556662487,70786.85336835888,47920.93210785024,223386.23844526935,1.0,1.0,1.05
16.831803533309568,63371.990221700304,43004.40494638452,199297.67679928587,1.0,1.0,1.05
17.325806802500104,56732.384609114575,38590.171457085366,177806.2162171152,1.0,1.0,1.05
17.834308769319094,50787.1443155239,34627.16219957891,158631.9016596182,1.0,1.0,1.05
18.35773496178635,45463.7988325305,31069.471266026794,141524.9502912509,1.0,1.0,1.05
18.896523396912098,40697.424721188356,27875.83758345903,126262.50028650789,1.0,1.0,1.05
19.4511249472413,36429.86156396224,25009.177923810737,112645.70989861868,1.0,1.0,1.05
20.022003718155844,32609.009151554572,22436.166514104083,100497.16906316172,1.0,1.0,1.05
20.6096374362503,29188.197512954357,20126.85663812533,89658.58987209198,1.0,1.0,1.05
21.2145178491063,26125.622261039876,18054.34007179261,79988.74587907805,1.0,1.0,1.05
21.83715113680003,23383.838501426806,16194.4406017443,71361.63343210061,1.0,1.0,1.05
22.47805833548725,20929.307248045057,14525.438244626916,63664.83111599625,1.0,1.0,1.05
23.137775773420238,18731.988913282235,13027.821116871351,56798.035963534596,1.0,1.0,1.05
23.81685551976158,16764.979000753847,11684.062204812968,50671.75739215192,1.0,1.0,1.05
24.515865846570424,15004.181631410258,10478.418555914574,45206.15187449283,1.0,1.0,1.05
25.23539170434766,13428.016984662423,9396.750656383763,40329.98318108117,1.0,1.0,1.05
25.97603521153814,12017.159140792348,8426.359981165295,35979.694666521995,1.0,1.0,1.05
26.738416158399467,10754.301173865619,7555.842901428495,32098.581527857918,1.0,1.0,1.05
27.523172525659014,9623.944669948029,6774.959314332866,28636.052263989706,1.0,1.0,1.05
28.330961018393243,8612.211137480102,6074.514521921917,25546.969725327297,1.0,1.0,1.05
29.16245761557602,7706.673038622165,5446.253032166178,22791.063178134576,1.0,1.0,1.05
30.01835813575589,6896.20240533866,4882.763086990601,20332.40373182924,1.0,1.0,1.05
30.899378819335602,6170.835214716654,4377.390840971682,18138.936301800124,1.0,1.0,1.05
31.80625692794119,5521.649886999904,3924.163221535099,16182.06201582425,1.0,1.0,1.05
32.73975136138222,4940.658439301499,3517.7185980645795,14436.265628464196,1.0,1.0,1.05
33.700643292719285,4420.708979941215,3153.2444743771803,12878.783093434728,1.0,1.0,1.05
34.68973682197071,3955.3983646379697,2826.4214974592205,11489.304966456188,1.0000000000000002,1.0,1.05
35.707859649004625,3538.9939579913203,2533.373146033796,10249.711777359782,1.0000000000000018,1.0,1.05
36.755863766180596,3166.3635532556996,2270.620526202702,9143.83792622804,1.0000000000000098,1.0,1.05
37.83462617131929,2832.9126016526725,2035.041758762579,8157.261029564358,1.0000000000000502,1.0,1.05
38.945049601597944,2534.5279905435027,1823.8354944540854,7277.113973701367,1.0000000000002376,1.0,1.05
40.08806328898464,2267.5276887486866,1634.488139927194,6491.917228198535,1.0000000000010283,1.0,1.05
41.26462373784476,2028.6156480894874,1464.7444190981746,5791.429235676592,1.000000000004101,1.0,1.05
42.47571552536898,1814.8414136856766,1312.580932293367,5166.512929829288,1.0000000000151303,1.0,1.05
43.72235212549416,1623.5639524277035,1176.1824095314869,4609.016643292751,1.0000000000518725,1.0,1.05
45.005576757004974,1452.4192600317824,1053.9203848634968,4111.6678543774815,1.000000000165939,1.0,1.05
46.326463256527646,1299.2913527898038,944.3340462009082,3667.978388807505,1.0000000004972478,1.0,1.05
47.68611697714469,1162.286291090897,846.1130398238341,3272.1598417451814,1.000000001400893,1.0,1.05
49.08567571338432,1039.7089185060636,758.0820310408209,2919.0481184432456,1.0000000037234973,1.0,1.05
50.526310653356795,930.0420331329257,679.1868425208427,2604.0361105938273,1.0000000093676893,1.0,1.05
52.009227358836405,831.9277373868317,608.4820098546724,2323.0136313770927,1.0000000223764267,1.0,1.05
53.53566677410724,744.1507388524412,545.1196101293291,2072.3138267325403,1.0000000508969658,1.0,1.05
55.10690626441899,665.6233984921739,488.3392338948532,1848.6653647094088,1.0000001105429022,1.0,1.05
56.72426068491978,595.3723437301012,437.45898403075597,1649.149780000101,1.0000002298451696,1.0,1.05
58.389083480962555,532.526482945921,391.86739682586574,1471.1634178978284,1.0000004586377482,1.0,1.05
60.10276782070382,476.3062749531329,351.01619120266764,1312.3834818233,1.0000008803160618,1.0,1.05
61.86674776094437,426.0141223026176,314.41376156396166,1170.7377420122539,1.00000162888311,1.0,1.05
63.68249944718586,381.02577093204553,281.61933832340173,1044.3775106436417,1.000002911511022,1.0,1.05
65.55154234890925,340.7826109370727,252.23774789832314,931.6535312361391,1.000005036961648,1.0,1.05
67.47544053110693,304.7847842203894,225.914710880501,831.0944681036466,1.0000084496268564,1.0,1.05
69.45580396313453,272.5850146113891,202.33262333606635,741.3877155313843,1.000013768203955,1.0,1.05
71.49428986597577,243.78308486163138,181.20677179050023,661.3622765550692,1.0000218271903336,1.0,1.05
73.59260409904977,218.0208928154819,162.28193749163228,589.9734881888719,1.0000337185716894,1.0,1.05
75.75250258771912,194.9780261270515,145.3293500702344,526.289394005286,1.000050830412719,1.0,1.05
77.97579279269578,174.36780122904983,130.14395478532617,469.4785864340662,1.0000748786544218,1.0,1.05
80.26433522257175,155.93371793333108,116.54196119615763,418.79936029815974,1.0001079283670244,1.0,1.05
82.62004499074297,139.4462861252179,104.35864438648441,373.59003619079397,1.0001524010462397,1.0,1.05
85.04489341802677,124.7001855659104,93.44637281680706,333.26032754256806,1.0002110652638967,1.0,1.05
87.54090968231631,111.51172389442733,83.67283953029826,297.28363882857036,1.0002870090298852,1.0000000000000004,1.05
90.11018251665018,99.71656157220428,74.91947581863127,265.1901945007254,1.000383593485769,1.0000000000000022,1.05
92.75486195712065,89.16767578385318,67.0800285920244,236.5609090574168,1.0005043888996559,1.0000000000000122,1.05
95.47716114208056,79.7335382365185,60.059284618165805,211.02191832225805,1.0006530952280333,1.0000000000000624,1.05
98.27935816415729,71.29648442321374,53.77192651926045,188.2397006221996,1.0008334506262606,1.0000000000002915,1.05
101.1637979766207,63.751254264478405,48.141506965173654,167.916724244477,1.0010491321253367,1.000000000001248,1.05
104.13289435570351,57.00368614613986,43.09952889130727,149.7875644121305,1.0013036531855544,1.0000000000049225,1.05
107.18913192051286,50.96954825457775,38.58462081854701,133.61543913853606,1.0016002629654395,1.0000000000179758,1.05
110.33506821222625,45.57349279752944,34.54179747372765,119.18911878210136,1.0019418519229728,1.0000000000610338,1.05
113.57333583431051,40.748120208759886,30.921796915600645,106.32016899431548,1.002330867843237,1.0000000001934692,1.05
116.90664465555443,36.433141787208264,27.680486274873495,94.8404911010308,1.0027692456321895,1.0000000005747631,1.05
120.33778407775905,32.57463043203124,24.778329028019613,84.60012783488942,1.003258353311762,1.0000000016061434,1.05
123.8696253699838,29.12435021906049,22.179907452646084,75.46530579669944,1.0037989556802653,1.0000000042363575,1.05
127.50512407130128,26.03915653481248,19.853494565716243,67.31668911039348,1.0043911961408938,1.000000010580929,1.05
131.24732246407115,23.28045935318568,17.770670432458893,60.04782149017363,1.0050345963142866,1.0000000251020347,1.05
135.09935211980277,20.81374301797532,15.905978260191395,53.56373639546009,1.0057280722868596,1.0000000567288623,1.05
139.06443651973828,18.6081365908403,14.236616163678743,47.77971714132286,1.0064699657360991,1.0000001224601436,1.05
143.14589375234786,16.636029447892888,12.742160912563971,42.6201907877638,1.0072580877317805,1.0000002531627885,1.05
147.34713928999454,14.872727366274958,11.404320351786875,38.01774137599814,1.0080897727383407,1.0000005024297778,1.05
151.6716888470924,13.29614484177299,10.206711527214003,33.91222963651283,1.0089619402271306,1.000000959440142,1.05
156.12316132215045,11.88652982582918,9.134661854929458,30.250007682437307,1.0098711613284503,1.0000017667211571,1.05
160.70528182616385,10.626217470707626,8.175030947375046,26.983218440750317,1.0108137280875713,1.0000031435000407,1.05
165.4218847998859,9.499409829983751,7.316050956004155,24.06917067921372,1.011785723109611,1.0000054149205617,1.05
170.27691722259013,8.491978782335796,6.547183511222286,21.469781473075876,1.0127830876585338,1.000009046791807,1.05
175.27444191500823,7.591289733770276,5.858991538730878,19.151078835385032,1.0138016865910024,1.0000146847740394,1.05
180.41864093920717,6.786043910430749,5.243024409303525,17.082758019659014,1.0148373688347059,1.0000231960713288,1.05
185.71381909825018,6.066137284180309,4.69171503860254,15.237785703908468,1.0158860224452841,1.0000357109032652,1.05
191.16440753857037,5.422534379037957,4.198287696770601,13.592046889732009,1.0169436235822549,1.0000536603916927,1.05
196.7749674580727,4.847155390820137,3.7566754158980613,12.124029907541365,1.0180062790224291,1.00007880713699,1.05
202.55019392306664,4.332775217257284,3.361445998587917,10.814545416199461,1.0190702620728398,1.0001132647555395,1.05
208.49491979722254,3.8729331434494028,3.007735734078804,9.646475728944171,1.0201320419508655,1.000159503042993,1.05
214.6141197858406,3.4618520596123394,2.6911900209645596,8.604551193212401,1.0211883068662393,1.0002203362000248,1.05
220.91291459881728,3.094366206273816,2.407910178563784,7.675150705033093,1.0222359811691644,1.0002988926398122,1.05
227.39657523579274,2.765856547861797,2.154405803429089,6.84612375362711,1.0232722370234204,1.0003985661797472,1.05
234.0705273970635,2.472192970291006,1.9275520942268307,6.106631672844648,1.024294501126685,1.0005229497699561,1.05
240.9403560239527,2.209682582863386,1.7245516280569038,5.447006026750655,1.0253004570364133,1.0006757541897833,1.05
248.0118099724387,1.975023480600301,1.5429001249304617,4.858622280306308,1.0262880436727984,1.0008607152262883,1.05
255.29080682395167,1.7652633909535644,1.380355785219582,4.33378710560636,1.027255450564874,1.0010814936407604,1.05
262.7834378373632,1.5777626895360104,1.2349118280095124,3.8656378521198036,1.0282011103856927,1.0013415726728312,1.05
270.4959730463137,1.4101613238198427,1.1047718969352696,3.448052868166728,1.029123689291462,1.00164415791017,1.05
278.4348665061448,1.260349232343755,0.9883280347312768,3.0755715025193657,1.0300220755407483,1.0019920840858112,1.05
286.606761694825,1.1264398904478656,0.8841409587788057,2.7433227413872805,1.0308953668261889,1.0023877328062238,1.05
295.0184970723898,1.0067466524566098,0.790922397772367,2.4469615487842225,1.0317428567049114,1.0028329644333744,1.05
303.67711180354604,0.8997615950349758,0.7075192745756737,2.18261207884818,1.0325640204669326,1.0033290664255954,1.05
312.5898516482341,0.8041365975834562,0.6328995426989573,1.9468170184087517,1.0333585007346953,1.003876719467926,1.05
321.76417502507354,0.7186664233974032,0.56613950387004,1.7364923981379217,1.034126093042695,1.004475981768087,1.05
331.2077592527663,0.6422735902418122,0.5064124521316896,1.5488872820256416,1.03486673160468,1.0051262910216876,1.05
340.92850697468145,0.5739948412918615,0.45297850599288403,1.3815478086222854,1.0355804754376972,1.0058264828055323,1.05
350.93455277199854,0.5129690473390041,0.4051755045847928,1.2322851143171865,1.0362674949776043,1.0065748235698337,1.05
361.23426997094305,0.4584263890093993,0.36241085669679846,1.0991467196177673,1.036928059289742,1.0073690559811599,1.05
371.8362776498087,0.4096786837071836,0.32415424314897423,0.9803910046185628,1.0375625239512232,1.0082064541165598,1.05
382.7494478516315,0.3661107362775825,0.28993108333440776,0.8744644401940631,1.0381713196576488,1.009083885912879,1.05
393.9829130085527,0.3271726051614104,0.2593166860624995,0.7799812774402971,1.0387549415868362,1.0099978803134102,1.05
405.54607358408276,0.29237268724165644,0.23193101316482173,0.6957054299972076,1.0393139395350688,1.01094469670171,1.05
417.44860593965944,0.2612715348064962,0.20743399178865377,0.6205343125260635,1.0398489088272211,1.0119203944427602,1.05
429.7004704320844,0.23347632719821826,0.18552131798992127,0.5534844241673892,1.0403604819905623,1.0129209006382398,1.05
442.3119197486164,0.20863592789781182,0.16592070022762784,0.4936784885986083,1.0408493211728267,1.013942074521151,1.05
455.29350748669475,0.18643646511205497,0.14838849672832521,0.4403339826444685,1.0413161112779707,1.0149797672443082,1.05
468.65609698547047,0.16659738047476197,0.13270670549650468,0.39275290353258485,1.0417615537876397,1.0160298761399338,1.05
482.41087041653736,0.14886789632785274,0.11868027005314594,0.350312641068057,1.0421863612325115,1.0170883928305394,1.05
496.5693381414728,0.1330238572839036,0.10613466784211738,0.3124578354362709,1.042591252275101,1.0181514448449513,1.05
511.14334834401654,0.11886490645500798,0.09491375169936979,0.2786931142202106,1.042976947364128,1.0192153306318288,1.05
526.1450969449461,0.10621196092138893,0.08487781787473118,0.2485766137059136,1.0433441649199438,1.0202765480634177,1.05
541.5871378079476,0.0949049547594437,0.0759018768681061,0.22171419979715995,1.0436936180106473,1.0213318166840584,1.05
