snapshot_idx,snapshot_time_gyr,rho_center_shell3_code,u_center_shell3_code,v_center_shell3_kms,v_max_kms,rho_r0p1rs_code,u_r0p1rs_code,rho_r0p2rs_code,u_r0p2rs_code,rho_r0p5rs_code,u_r0p5rs_code
0,0.0,32.45601011691302,0.048976924306993526,12.733893680442758,21.99341015694238,9.290489343448707,0.08810537987752666,3.950468715693014,0.11519179252524436,1.0348186426552712,0.14160762994458947
1,0.05011856954403569,7.250228739839622,0.09041905996074039,17.30196619056107,21.94443792702603,5.858156329797479,0.09978374862600287,3.6317275325689047,0.1148473632258646,1.0936212161788792,0.13733979131952323
2,0.100035558825742,4.324274660057333,0.11496213742165781,19.50935359544619,21.875013110839777,4.113401386059906,0.11562023267242674,3.1602350504481365,0.12018980861706338,1.1350170253912693,0.13468383958778068
3,0.15000472980920612,3.5832377223620986,0.12238022777420647,20.128948736634673,21.78900991544382,3.463031408468538,0.12285990552327145,2.8345495941876973,0.12500490737256043,1.1524015909495022,0.13398708831408004
4,0.20000394000632232,3.2041734301018643,0.12686027748354783,20.49407370352379,21.72633328703265,3.1277443652581285,0.1268959210356093,2.633346372493333,0.12816976555455212,1.1566786456783995,0.13420409780961368
5,0.25003529294425625,2.9904385185227413,0.12915642940451194,20.67871179391083,21.67044184917948,2.92283022314362,0.1295077736312492,2.5006207329284065,0.13038898716904726,1.1554969273445903,0.13470447636250005
6,0.3003903057500722,2.8343475463139605,0.13139513823943783,20.85715714711334,21.620525061803907,2.783090466326295,0.1314348656786155,2.4072512015003,0.1320583797436639,1.1515433946871538,0.1352773289473478
7,0.35008200398936856,2.72526791222122,0.1331218935166487,20.99375905102545,21.58027696845394,2.6854198170963826,0.13287776737879775,2.3402677945647015,0.13335290833646066,1.147835817353489,0.13583214865403845
8,0.40034139978982863,2.6478036348279548,0.13436798485994242,21.091786533164974,21.548452202322807,2.613220052587842,0.13404186841681676,2.288589750758494,0.13442239830468444,1.1447304987949425,0.13636157501769816
9,0.4503158430052619,2.590816641234874,0.1353799353570713,21.17106065632365,21.524473143385492,2.5597040862883085,0.1350027534636931,2.249908598222431,0.13531488286970236,1.1424183033899467,0.1368521129363836
10,0.500003655095654,2.5506516222356472,0.13611541748927072,21.22849104984454,21.50690619934049,2.5197005570121145,0.13582060413679325,2.2208977747178755,0.13607877306597038,1.1408936835473735,0.13730643539975487
