model,sigma_low_dwarf,sigma_high_cluster,sigma_high_bullet
M1_dark_photon_massive,1.7100568853709434e-09,9.57808165629137e-15,2.77228359088214e-16
M1_dark_photon_massive,3.452324354268456e-09,1.9278622686479826e-14,5.580011869436325e-16
M1_dark_photon_massive,6.9493372348498544e-09,3.880372980987545e-14,1.1231366287870512e-15
M1_dark_photon_massive,1.3987524358155244e-08,7.810357988974961e-14,2.2606329815039776e-15
M1_dark_photon_massive,2.8153884472439672e-08,1.5720574340361538e-13,4.550169005335249e-15
M1_dark_photon_massive,5.665855807512407e-08,3.164214213224162e-13,9.158513631584487e-15
M1_dark_photon_massive,1.1404151711035373e-07,6.368884094434091e-13,1.84341223021755e-14
M1_dark_photon_massive,2.2954134680941663e-07,1.2819196765760261e-12,3.7103931786448196e-14
M1_dark_photon_massive,4.6201746601089244e-07,2.5802291780265086e-12,7.46822512862966e-14
M1_dark_photon_massive,9.299419989739708e-07,5.193447555873064e-12,1.5031934322460807e-13
M1_dark_photon_massive,1.871773652141444e-06,1.230447600714045e-11,3.0256057574985857e-13
M1_dark_photon_massive,3.767478633931529e-06,2.4766269364668793e-11,6.089895021780528e-13
M1_dark_photon_massive,7.583125898204483e-06,4.906834669187479e-11,1.2257651640301187e-12
M1_dark_photon_massive,1.5263204911134917e-05,9.806976382179456e-11,2.7304825337032997e-12
M1_dark_photon_massive,3.0721555633733386e-05,1.9744058357172633e-10,6.2968077295386374e-12
M1_dark_photon_massive,6.183589790293884e-05,3.9395888072438427e-10,1.2674122512554227e-11
M1_dark_photon_massive,0.00012446239100158524,7.92939825047063e-10,2.432992708191038e-11
M1_dark_photon_massive,0.0002505160804515542,1.5960176837837347e-09,4.8888380472544975e-11
M1_dark_photon_massive,0.0005042351031481351,3.2124414592392656e-09,9.770687368728774e-11
M1_dark_photon_massive,0.0010149170416067536,6.465955189930842e-09,1.9674914405410052e-10
M1_dark_photon_massive,0.0020428101790469573,1.3014580047193813e-08,3.9601379986308603e-10
M1_dark_photon_massive,0.00411173845402311,2.619555639182011e-08,7.970907849991842e-10
M1_dark_photon_massive,0.008276047029577547,5.272603281770787e-08,1.6043726752711049e-09
M1_dark_photon_massive,0.01665790643098001,1.061261877820663e-07,3.2292998791240495e-09
M1_dark_photon_massive,0.03352879045655323,2.1360923840229595e-07,6.499889575373281e-09
M1_dark_photon_massive,0.06748625910088744,4.299495519121812e-07,1.3082882681950834e-08
M1_dark_photon_massive,0.13583535538908606,8.65396170442072e-07,2.6333034936191046e-08
M1_dark_photon_massive,0.27340741685053205,1.7418567561823465e-06,5.3002727202556915e-08
M1_dark_photon_massive,0.5503104502856587,3.505983805669238e-06,1.0668315522032875e-07
M1_dark_photon_massive,1.1076568265123696,7.056792932017761e-06,2.1473029467700683e-07
M1_dark_photon_massive,2.2294754618644483,1.4203809613966552e-05,4.3220599687782705e-07
M1_dark_photon_massive,4.487455605457049,2.8589220272348627e-05,8.699379098703344e-07
M1_dark_photon_massive,9.03228501743978,5.754396447113591e-05,1.7509983028844708e-06
M1_dark_photon_massive,18.1800511936113,0.00011582365015593085,3.5243837771839247e-06
M1_dark_photon_massive,36.59254117470404,0.00023312814921141713,7.093828125598573e-06
M1_dark_photon_massive,73.65293174163098,0.0004692369294317023,1.427835350999778e-05
M1_dark_photon_massive,148.24754389802862,0.0009444732293688605,2.873926113613918e-05
M1_dark_photon_massive,298.3904883636238,0.0019010219039554072,5.7845964527553414e-05
M1_dark_photon_massive,600.5960112710256,0.0038263490874518636,0.00011643151145299429
M1_dark_photon_massive,1208.8708682801257,0.0077016194861198725,0.0002343516435406916
M1_dark_photon_massive,2433.197604965253,0.015501707072022993,0.0004716995609251016
