model_label,model_key,sigma_m_cm2_g,r_s_kpc,rho_0_msun_pc3,t_cross_gyr,viable,n_checkpoints,final_ratio,final_t_gyr,init_ratio,skipped
M1,M1_dark_photon_massive,0.004999999999999999,0.014999999999999996,10.0,inf,False,4,0.7169933367655672,0.0026606290868049745,0.5785603721296028,no
M1,M1_dark_photon_massive,0.004999999999999999,0.01783810672504081,10.0,inf,False,4,0.6847397976011029,0.002660858860918841,0.558657415800948,no
M1,M1_dark_photon_massive,0.004999999999999999,0.02121320343559642,10.0,inf,False,4,0.7321863932796182,0.0026602294767739945,0.5379682637603689,no
M1,M1_dark_photon_massive,0.004999999999999999,0.025226892457611432,10.0,inf,False,4,0.6372640842274035,0.0026601804399947336,0.5167685061023886,no
M1,M1_dark_photon_massive,0.004999999999999999,0.029999999999999995,10.0,inf,False,4,0.59152142283309,0.0026601407701230934,0.4953604991813157,no
M1,M1_dark_photon_massive,0.004999999999999999,0.03567621345008163,10.0,inf,False,4,0.5425885443817267,0.0026605565299311663,0.47405614661498824,no
M1,M1_dark_photon_massive,0.004999999999999999,0.042426406871192826,10.0,inf,False,4,0.5189098958363324,0.0026612433144503444,0.45315878316353,no
M1,M1_dark_photon_massive,0.004999999999999999,0.050453784915222843,10.0,inf,False,6,0.4087085184114097,0.013301127136791074,0.43294635835480116,no
M1,M1_dark_photon_massive,0.004999999999999999,0.05999999999999997,10.0,0.011260326276885503,True,6,0.3512598940817293,0.01330924675980544,0.4136577988644415,no
M1,M1_dark_photon_massive,0.004999999999999999,0.07135242690016323,10.0,0.007103584249522084,True,6,0.3157678777856962,0.0133004539710536,0.39548377502383614,no
M1,M1_dark_photon_massive,0.004999999999999999,0.08485281374238567,10.0,0.0022458034070781717,True,4,0.35435912108316525,0.0026603142531231713,0.37856230193353224,no
M1,M1_dark_photon_massive,0.004999999999999999,0.10090756983044573,10.0,0.0007768658194342437,True,3,0.34976391834744397,0.0013302072714447037,0.3629788702309376,no
M1,M1_dark_photon_massive,0.004999999999999999,0.11999999999999998,10.0,0.00015704798987234276,True,2,0.31895866909617326,0.0006652580281944551,0.3487702684316665,no
M1,M1_dark_photon_massive,0.007300108075456553,0.014999999999999996,10.0,inf,False,4,0.7161910634829414,0.002660843290708347,0.5785603721296028,no
M1,M1_dark_photon_massive,0.007300108075456553,0.01783810672504081,10.0,inf,False,4,0.6838741017109016,0.002661090078524119,0.558657415800948,no
M1,M1_dark_photon_massive,0.007300108075456553,0.02121320343559642,10.0,inf,False,4,0.6830759382749876,0.002660184253574335,0.5379682637603689,no
M1,M1_dark_photon_massive,0.007300108075456553,0.025226892457611432,10.0,inf,False,4,0.6340743946907009,0.0026604763033526734,0.5167685061023886,no
M1,M1_dark_photon_massive,0.007300108075456553,0.029999999999999995,10.0,inf,False,4,0.5929185356856989,0.002660502612165181,0.4953604991813157,no
M1,M1_dark_photon_massive,0.007300108075456553,0.03567621345008163,10.0,inf,False,4,0.5491171817378193,0.002660187189704933,0.47405614661498824,no
M1,M1_dark_photon_massive,0.007300108075456553,0.042426406871192826,10.0,inf,False,4,0.5403838382449094,0.002661960307482667,0.45315878316353,no
M1,M1_dark_photon_massive,0.007300108075456553,0.050453784915222843,10.0,inf,False,7,0.428051084503841,0.0266063373964447,0.43294635835480116,no
M1,M1_dark_photon_massive,0.007300108075456553,0.05999999999999997,10.0,0.007411616363618664,True,6,0.35707913783238,0.013300322673386595,0.4136577988644415,no
M1,M1_dark_photon_massive,0.007300108075456553,0.07135242690016323,10.0,0.002509321198998906,True,4,0.3611557973281804,0.0026607305110380097,0.39548377502383614,no
M1,M1_dark_photon_massive,0.007300108075456553,0.08485281374238567,10.0,0.0016621910379210655,True,4,0.33587313319094186,0.0026605011627493674,0.37856230193353224,no
M1,M1_dark_photon_massive,0.007300108075456553,0.10090756983044573,10.0,0.0006292542167726987,True,2,0.36191297713516124,0.0006654217684741258,0.3629788702309376,no
M1,M1_dark_photon_massive,0.007300108075456553,0.11999999999999998,10.0,0.00014676022708402456,True,2,0.3301677002842737,0.0006651780706224289,0.3487702684316665,no
M1,M1_dark_photon_massive,0.010658315582669208,0.014999999999999996,10.0,inf,False,4,0.7156661361077609,0.0026601159488711234,0.5785603721296028,no
M1,M1_dark_photon_massive,0.010658315582669208,0.01783810672504081,10.0,inf,False,4,0.6833124778154431,0.002660483756766767,0.558657415800948,no
M1,M1_dark_photon_massive,0.010658315582669208,0.02121320343559642,10.0,inf,False,4,0.6740026670981842,0.0026608409977060595,0.5379682637603689,no
M1,M1_dark_photon_massive,0.010658315582669208,0.025226892457611432,10.0,inf,False,4,0.6320474210912537,0.002660279455810521,0.5167685061023886,no
M1,M1_dark_photon_massive,0.010658315582669208,0.029999999999999995,10.0,inf,False,4,0.5933424520890296,0.002660668506986898,0.4953604991813157,no
M1,M1_dark_photon_massive,0.010658315582669208,0.03567621345008163,10.0,inf,False,4,0.5530455369907629,0.0026615485796954493,0.47405614661498824,no
M1,M1_dark_photon_massive,0.010658315582669208,0.042426406871192826,10.0,inf,False,4,0.5773666925880796,0.002660558085532684,0.45315878316353,no
M1,M1_dark_photon_massive,0.010658315582669208,0.050453784915222843,10.0,inf,False,7,0.4331254115635487,0.026600868664508497,0.43294635835480116,no
M1,M1_dark_photon_massive,0.010658315582669208,0.05999999999999997,10.0,inf,False,7,0.47922857455158524,0.0266007727208485,0.4136577988644415,no
M1,M1_dark_photon_massive,0.010658315582669208,0.07135242690016323,10.0,0.004146809976730536,True,5,0.3574266431855969,0.006650354094384338,0.39548377502383614,no
M1,M1_dark_photon_massive,0.010658315582669208,0.08485281374238567,10.0,0.0016656595930711617,True,4,0.33061020525315066,0.002668725229838057,0.37856230193353224,no
M1,M1_dark_photon_massive,0.010658315582669208,0.10090756983044573,10.0,0.000613677280708533,True,2,0.3609094964017111,0.0006664487544608305,0.3629788702309376,no
M1,M1_dark_photon_massive,0.010658315582669208,0.11999999999999998,10.0,0.0001351869995521426,True,2,0.31749008661736244,0.0006658617170217157,0.3487702684316665,no
M1,M1_dark_photon_massive,0.015561371131161584,0.014999999999999996,10.0,inf,False,4,0.715322070833158,0.002660436101634594,0.5785603721296028,no
M1,M1_dark_photon_massive,0.015561371131161584,0.01783810672504081,10.0,inf,False,4,0.6829571016274366,0.002660721835092079,0.558657415800948,no
M1,M1_dark_photon_massive,0.015561371131161584,0.02121320343559642,10.0,inf,False,4,0.6704187686066432,0.002660441889550317,0.5379682637603689,no
M1,M1_dark_photon_massive,0.015561371131161584,0.025226892457611432,10.0,inf,False,4,0.6309907026570108,0.0026611070506223724,0.5167685061023886,no
M1,M1_dark_photon_massive,0.015561371131161584,0.029999999999999995,10.0,inf,False,4,0.5936782679397996,0.002661221804774504,0.4953604991813157,no
M1,M1_dark_photon_massive,0.015561371131161584,0.03567621345008163,10.0,inf,False,4,0.5556056404626669,0.002660986011846807,0.47405614661498824,no
