model_label,model_key,sigma_m_cm2_g,r_s_kpc,rho_0_msun_pc3,t_cross_gyr,viable,n_checkpoints,final_ratio,final_t_gyr,init_ratio,skipped,extended
M3,const_rdiss_1p05,0.2200710210280987,0.0848528137423856,10.0,0.05657928587497095,True,9,0.3205938187316539,0.10640606613378471,0.3785623019335323,no,True
M3,const_rdiss_1p05,0.0073001080754565,0.1199999999999999,10.0,0.048101432100668966,True,8,0.36235554853635743,0.053202920806863625,0.34877026843166653,no,True
M3,const_rdiss_1p05,0.6849213666863824,0.0713524269001632,10.0,inf,False,9,0.372111436555398,0.10640369701350132,0.3954837750238361,no,True
M3,const_rdiss_1p05,0.0049999999999999,0.1199999999999999,10.0,0.06855488022178538,True,9,0.3540314180932242,0.1064046717888931,0.34877026843166653,no,True
M3,const_rdiss_1p05,0.1032391184710001,0.0848528137423856,10.0,0.12329053283688293,True,10,0.326778789571071,0.21280744312794744,0.3785623019335323,no,True
M3,const_rdiss_1p05,0.3213084475562387,0.0713524269001632,10.0,inf,False,10,0.40491587330139306,0.21281098320035774,0.3954837750238361,no,True
M3,const_rdiss_1p05,1.0,0.0713524269001632,10.0,inf,False,9,0.4240958561428856,0.10640253543415831,0.3954837750238361,no,True
M3,const_rdiss_1p05,0.0331716008829916,0.1009075698304457,10.0,0.08202731346116633,True,9,0.35201092560565334,0.10640311772827232,0.3629788702309377,no,True
M3,const_rdiss_1p05,0.0106583155826692,0.1009075698304457,10.0,0.4355864600810153,True,12,0.35208859535312936,0.8512219549565326,0.3629788702309377,no,True
M3,const_rdiss_1p05,0.0331716008829916,0.0848528137423856,10.0,0.259016506262688,True,11,0.3541751721085663,0.42561614256803876,0.3785623019335323,no,True
M3,const_rdiss_1p05,0.0227199382119538,0.1009075698304457,10.0,0.15311660666133642,True,10,0.358606502947442,0.2128049095078646,0.3629788702309377,no,True
M3,const_rdiss_1p05,0.0073001080754565,0.1009075698304457,10.0,0.3741762619457337,True,11,0.35832799000402304,0.425612300524373,0.3629788702309377,no,True
M3,const_rdiss_1p05,0.0707106781186547,0.0848528137423856,10.0,0.10981941378616404,True,10,0.3501888804542872,0.21280732731985152,0.3785623019335323,no,True
M3,const_rdiss_1p05,0.0049999999999999,0.1009075698304457,10.0,inf,False,11,0.37618867940973755,0.4256103720766168,0.3629788702309377,no,True
M3,const_rdiss_1p05,0.2200710210280987,0.0713524269001632,10.0,0.10042286928697382,True,9,0.36058740494040337,0.10640309801988238,0.3954837750238361,no,True
M3,const_rdiss_1p05,0.1032391184710001,0.0713524269001632,10.0,inf,False,12,0.40839313488861295,0.8512248521196131,0.3954837750238361,no,True
M3,const_rdiss_1p05,0.0227199382119538,0.0848528137423856,10.0,0.6226068477496148,True,12,0.33548140412221394,0.8512237058585401,0.3785623019335323,no,True
