model,snapshot_idx,snapshot_time_gyr,r2D_rs,M_inner_sim,M_outer_sim,mass_ratio,n_sigma,lambda,mu,r_s_kpc,rho0_msun_pc3,sigma_m_cm2_g,t_evo_gyr,t_ok,rdiss_before,rdiss_after,rdiss_ratio,v_sim_kms,v_phys_kms,rdiss_correction_factor,sigma_m_corrected_cm2_g,symmetry_breaking_pct,valid_regime,pick_label,model_label
M1_dark_photon_massive,23,0.5178549817320325,0.6846096838574658,307835.8564809256,788062.2770005548,0.390623768533345,1.201913915962204,0.0081149240020277,1.4462833921757967,0.0292137264072997,19188.731394210397,0.0022765936439198,0.0003147807344057,True,1.000569274935312,1.0478629473197292,1.0472667646000569,70.47110717424903,940.7962245550008,0.0118938545825291,2.707747374429308e-05,-98.81061454174709,True,P1_lower,M1
M1_dark_photon_massive,44,1.077131208757633,0.2468340467068649,149248.59618481327,365275.9741391996,0.4085913302579751,2.018621267081754,0.0225072498290854,3.0679606463339515,0.0810260993847076,1907.78190321117,0.0082559125305958,0.0020764781448257,True,1.000569274935312,1.0472432673713965,1.0466474372192789,70.47110717424903,822.7630343894195,0.0120498637580851,9.94826211923476e-05,-98.7950136241915,True,P2_p25,M1
M1_dark_photon_massive,61,1.6239892910262428,0.1844262708585534,111016.88474057431,333427.5500795711,0.3329565439750873,1.4193235639586022,0.0301234500361199,3.5907995361930367,0.1084444201300317,931.3721883297344,0.0126353787357433,0.004480687400506,True,1.000569274935312,1.046873400028684,1.0462777803129777,70.47110717424903,769.4037876415144,0.0121449464934003,0.0001534559986694,-98.78550535065996,True,P3_median,M1
M1_dark_photon_massive,26,0.5918601684238408,0.1377972359833557,105173.30036366818,281847.0275404359,0.3731573871169503,0.4079874879442619,0.0403168867351345,4.108231315778043,0.1451407922464842,444.4676513706144,0.0197828606895985,0.0023638621774774,True,1.000569274935312,1.046382684464306,1.0457873439417331,70.47110717424903,711.3691789694772,0.0122734365612279,0.0002428036856733,-98.7726563438772,True,P4_p75,M1
M1_dark_photon_massive,24,0.5423336231644633,0.0257865003377058,26513.19009000873,87105.46808555201,0.304380318167493,2.7182429188492514,0.2154443403640951,14.034965229466511,0.7755996253107423,9.950669610781937,0.1653593829269657,0.0144764973287619,True,1.000569274935312,1.0445775745404122,1.0439832610370186,70.47110717424903,568.786421936098,0.0127704331422525,0.0021117109441129,-98.72295668577476,True,P5_upper,M1
M2_scalar_phi_massive,59,2.127119264716932,0.4110778255771599,203619.3967022976,477291.3899843256,0.4266144350707532,2.837853304026212,0.0135146077211911,2.3070571301359584,0.0486525877962881,6626.653334276846,0.003958389661701,0.0022002287371759,True,1.0,1.0340026216418334,1.0340026216418334,70.47110717424903,920.74325745114,,,,False,P1_lower,M2
M2_scalar_phi_massive,38,1.0126576380016192,0.2468340467068649,142941.34360153775,369919.0550410621,0.3864124912020843,1.0104922190867178,0.0225072498290854,3.0930486716548216,0.0810260993847076,1923.3826511385116,0.0081889480031661,0.0019442536060639,True,1.0,1.0300246576410157,1.0300246576410157,70.47110717424903,826.1202275356602,,,,False,P2_p25,M2
M2_scalar_phi_massive,103,7.492560953836408,0.2468340467068649,189977.8111694151,531428.2787429289,0.357485325430554,0.3043789523464785,0.0225072498290854,2.2085529655695404,0.0810260993847076,1373.367479479166,0.0114685113458039,0.0170239377528886,True,1.0,1.0220717961177188,1.0220717961177188,70.47110717424903,698.0777381063898,,,,False,P3_median,M2
M2_scalar_phi_massive,53,1.6838243687840309,0.1377972359833557,81000.91508641523,270390.69080535416,0.2995699106546729,2.9368978057956188,0.0403168867351345,4.535999807181557,0.1451407922464842,490.7477271721549,0.017917233521926,0.0064001589447072,True,1.0,1.025578358023884,1.025578358023884,70.47110717424903,747.4878093082962,,,,False,P4_p75,M2
M2_scalar_phi_massive,14,0.314721275039952,0.0496823959473438,42938.84752181885,143572.52996493597,0.2990742555857001,2.9594275816580167,0.111821409769441,8.545479578075604,0.4025570751699877,43.33190537241678,0.0731616497856114,0.0040257363273461,True,1.0,1.0146662563964737,1.0146662563964737,70.47110717424903,616.0512363058018,,,,False,P5_upper,M2
