scan_point_id,model,requested_source_time_gyr,source_run_dir,status,selected_snapshot_idx,selected_source_time_gyr,direct_output_dir,direct_mass_chi2,direct_mass_ratio,direct_ratio_pull,direct_inner_pull,direct_outer_pull,direct_t_evo_phys_gyr,direct_vmax_kms,direct_max_cooling_code,direct_steps,flag_dissipation
M1_eta0p1_sigma0p1_vstar1,M1_dark_photon_massive,0.0,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar1\M1_eta0p1_sigma0p1_vstar1,complete,0,0.0,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192\M1_eta0p1_sigma0p1_vstar1\t0_n192,0.01771670599385588,0.36708047870635074,0.1317643783715552,0.10997924109365392,-0.07497514603066688,0.0,5.3657807860517295,3.1182596411191337e-31,0,True
M1_eta0p1_sigma0p1_vstar1,M1_dark_photon_massive,0.01,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar1\M1_eta0p1_sigma0p1_vstar1,complete,1,0.0100054342928832,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192\M1_eta0p1_sigma0p1_vstar1\t0p01_n192,0.017928966377357344,0.367097809259094,0.1325521307689769,0.11031186737155353,-0.07589636548846149,0.0001098669874219927,5.3658067368816456,3.118179147856053e-31,475,True
M1_eta0p1_sigma0p1_vstar1,M1_dark_photon_massive,0.02,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar1\M1_eta0p1_sigma0p1_vstar1,complete,2,0.0200049434725589,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192\M1_eta0p1_sigma0p1_vstar1\t0p02_n192,0.018143041561419094,0.36711514676819,0.13334019936424935,0.11068981406988765,-0.07675159035872023,0.00021967128224762068,5.365838675334887,3.1181061633091804e-31,950,True
M1_eta0p1_sigma0p1_vstar1,M1_dark_photon_massive,0.03,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar1\M1_eta0p1_sigma0p1_vstar1,complete,3,0.0300145173658421,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192\M1_eta0p1_sigma0p1_vstar1\t0p03_n192,0.018358744020487046,0.3671324912561132,0.13412858517893916,0.11110421028611572,-0.07755384243985351,0.00032958817241395336,5.365875431727067,3.118039211361035e-31,1425,True
M1_eta0p1_sigma0p1_vstar1,M1_dark_photon_massive,0.04,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar1\M1_eta0p1_sigma0p1_vstar1,complete,4,0.0400016964728777,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192\M1_eta0p1_sigma0p1_vstar1\t0p04_n192,0.01857506985540336,0.36714976963571205,0.13491396606979653,0.11154145762198217,-0.0783171315036941,0.00043926103732907276,5.365915288388526,3.117976602675003e-31,1898,True
M1_eta0p1_sigma0p1_vstar1,M1_dark_photon_massive,0.05,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar1\M1_eta0p1_sigma0p1_vstar1,complete,5,0.0500033585756728,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192\M1_eta0p1_sigma0p1_vstar1\t0p05_n192,0.018793320189735126,0.36716709145248294,0.13570132137756416,0.11200015422926352,-0.07905242338066754,0.0005490947082579725,5.3659579476839845,3.117917245652864e-31,2372,True
M1_eta0p1_sigma0p1_vstar1,M1_dark_photon_massive,0.1,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar1\M1_eta0p1_sigma0p1_vstar1,complete,10,0.1000098142805806,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192\M1_eta0p1_sigma0p1_vstar1\t0p1_n192,0.019904156457001887,0.36725369303327227,0.13963775686798802,0.11449365243687949,-0.08243397363141561,0.0010982661360580803,5.366197917784254,3.11765414350533e-31,4739,True
M1_eta0p1_sigma10_vstar1,M1_dark_photon_massive,0.0,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma10_vstar1\M1_eta0p1_sigma10_vstar1,complete,0,0.0,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192\M1_eta0p1_sigma10_vstar1\t0_n192,0.01771670599385588,0.36708047870635074,0.1317643783715552,0.10997924109365392,-0.07497514603066688,0.0,5.3657807860517295,3.1182596411191306e-29,0,True
M1_eta0p1_sigma10_vstar1,M1_dark_photon_massive,0.01,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma10_vstar1\M1_eta0p1_sigma10_vstar1,complete,1,0.0100018401613025,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192\M1_eta0p1_sigma10_vstar1\t0p01_n192,0.017718869417186922,0.3670806519523803,0.13177225319108143,0.11011300040681714,-0.07479302479907608,0.00010982587581254654,5.365798242965345,3.118280522283536e-29,475,True
M1_eta0p1_sigma10_vstar1,M1_dark_photon_massive,0.02,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma10_vstar1\M1_eta0p1_sigma10_vstar1,complete,2,0.0200186247508624,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192\M1_eta0p1_sigma10_vstar1\t0p02_n192,0.017721214425161884,0.36708082556656235,0.13178014474481012,0.1102898576619863,-0.07454771439863656,0.00021981493889534827,5.365821381857089,3.1183085664135456e-29,951,True
