scan_point_id,model,requested_source_time_gyr,source_run_dir,status,selected_snapshot_idx,selected_source_time_gyr,direct_output_dir,direct_mass_chi2,direct_mass_ratio,direct_ratio_pull,direct_inner_pull,direct_outer_pull,direct_t_evo_phys_gyr,direct_vmax_kms,direct_max_cooling_code,direct_steps,flag_dissipation
M1_eta0p1_sigma0p1_vstar1,M1_dark_photon_massive,0.0,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar1\M1_eta0p1_sigma0p1_vstar1,complete,0,0.0,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192_refined\M1_eta0p1_sigma0p1_vstar1\t0_n192,2.0537183485219077e-16,0.3641816620708522,-1.4151107053838144e-08,-1.1871541140689737e-08,8.027349861386495e-09,0.0,5.343777930616317,3.0250904327466273e-31,0,True
M1_eta0p1_sigma0p1_vstar1,M1_dark_photon_massive,0.01,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar1\M1_eta0p1_sigma0p1_vstar1,complete,1,0.0100054342928832,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192_refined\M1_eta0p1_sigma0p1_vstar1\t0p01_n192,1.1432699991151675e-06,0.3641624161129496,-0.0008748304194066743,-0.0010692379511116692,4.5057484068167515e-07,0.00011274419161802825,5.3435232234486465,3.0238438941723334e-31,475,True
M1_eta0p1_sigma0p1_vstar1,M1_dark_photon_massive,0.02,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar1\M1_eta0p1_sigma0p1_vstar1,complete,2,0.0200049434725589,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192_refined\M1_eta0p1_sigma0p1_vstar1\t0p02_n192,4.038011252862802e-06,0.3641453583529359,-0.0016501831473023846,-0.0020094453370963624,1.1861285111174369e-05,0.0002254929298375401,5.343291014680799,3.0226738353890257e-31,950,True
M1_eta0p1_sigma0p1_vstar1,M1_dark_photon_massive,0.03,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar1\M1_eta0p1_sigma0p1_vstar1,complete,3,0.0300145173658421,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192_refined\M1_eta0p1_sigma0p1_vstar1\t0p03_n192,8.124707076039094e-06,0.36412995165710016,-0.002350487503471383,-0.002850176005915273,3.469598455091891e-05,0.0003384213045457481,5.343076050377619,3.0215617739308498e-31,1425,True
M1_eta0p1_sigma0p1_vstar1,M1_dark_photon_massive,0.04,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar1\M1_eta0p1_sigma0p1_vstar1,complete,4,0.0400016964728777,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192_refined\M1_eta0p1_sigma0p1_vstar1\t0p04_n192,1.3115024185030423e-05,0.3641157118538944,-0.00299775128555098,-0.0036208802793075198,6.5193465564591e-05,0.0004511599136680325,5.342873496832562,3.020493076992232e-31,1898,True
M1_eta0p1_sigma0p1_vstar1,M1_dark_photon_massive,0.05,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar1\M1_eta0p1_sigma0p1_vstar1,complete,5,0.0500033585756728,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192_refined\M1_eta0p1_sigma0p1_vstar1\t0p05_n192,1.882621112395279e-05,0.36410236377622857,-0.0036044820885438138,-0.004337717446310091,0.0001020709553685708,0.0005641227507709991,5.342680115708139,3.0194544224883918e-31,2372,True
M1_eta0p1_sigma0p1_vstar1,M1_dark_photon_massive,0.1,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar1\M1_eta0p1_sigma0p1_vstar1,complete,10,0.1000098142805806,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192_refined\M1_eta0p1_sigma0p1_vstar1\t0p1_n192,5.4665654844857226e-05,0.3640444714660192,-0.006235950734423906,-0.007385187401561,0.0003530749051998823,0.0011297781811454547,5.3418060430591545,3.014574608550419e-31,4739,True
M1_eta0p1_sigma10_vstar1,M1_dark_photon_massive,0.0,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma10_vstar1\M1_eta0p1_sigma10_vstar1,complete,0,0.0,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192_refined\M1_eta0p1_sigma10_vstar1\t0_n192,2.0537183485219077e-16,0.3641816620708522,-1.4151107053838144e-08,-1.1871541140689737e-08,8.027349861386495e-09,0.0,5.343777930616317,3.025090432746625e-29,0,True
M1_eta0p1_sigma10_vstar1,M1_dark_photon_massive,0.01,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma10_vstar1\M1_eta0p1_sigma10_vstar1,complete,1,0.0100018401613025,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192_refined\M1_eta0p1_sigma10_vstar1\t0p01_n192,0.0005860891075601974,0.3636559769328736,-0.023894793150133008,-0.02010128485631486,0.013491755063203761,0.00011318730900940339,5.339800818221828,3.0085289113780136e-29,475,True
M1_eta0p1_sigma10_vstar1,M1_dark_photon_massive,0.02,D:\graverthermal-sidm\data\P6_deep_threshold_n192\runs\M1_eta0p1_sigma10_vstar1\M1_eta0p1_sigma10_vstar1,complete,2,0.0200186247508624,D:\graverthermal-sidm\data\P6_deep_threshold_direct_time_n192_refined\M1_eta0p1_sigma10_vstar1\t0p02_n192,0.00236434079561163,0.36312629698857674,-0.0479711542545361,-0.0403218409728281,0.0271751713182013,0.00022760199625460794,5.335798577028133,2.9919137776906206e-29,951,True
