snapshot_idx,snapshot_time_gyr,rho_center_shell3_code,u_center_shell3_code,v_center_shell3_kms,v_max_kms,rho_r0p1rs_code,u_r0p1rs_code,rho_r0p2rs_code,u_r0p2rs_code,rho_r0p5rs_code,u_r0p5rs_code
0,0.0,44.14626630350791,0.03966157844079252,11.45909875772933,21.659983378248864,8.470923946259113,0.08781094089353053,3.57142523597559,0.11390426030416465,0.9203992771263687,0.1383460250481442
1,0.010021924021658614,34.962345366824,0.04110607243034126,11.665905573054893,21.645764238718865,7.875602367468548,0.0890455238306348,3.5416604108693583,0.11373254107109908,0.9319139852881736,0.13754636260348024
2,0.020011872482026877,26.804159964444832,0.04412460919935444,12.086648749017145,21.630127557570834,7.331786203037763,0.0903702439805602,3.5068541484774345,0.11359002653848366,0.9432000341087537,0.1367884174915402
3,0.030017093875994556,19.539990438758302,0.05020001988167888,12.891914299110969,21.613308836887924,6.827157134587802,0.09186187641483796,3.4663795631981382,0.11351443452968912,0.9541397708190046,0.1360801623827985
4,0.04001077935250321,13.971602808980302,0.05932467350011709,14.014678635556413,21.596492162385665,6.354782063820336,0.09359280521453939,3.4203065874402787,0.11353439567399225,0.9646540664562795,0.135422190990257
5,0.050010699236377014,10.402551370390485,0.06913552262154689,15.129204398953856,21.579631830505623,5.911720009428308,0.09563485164114108,3.368961901981975,0.11367981286360399,0.9747363933187828,0.1348109207692273
6,0.060000159498658036,8.158365319892555,0.07861665158207719,16.133282424588025,21.561886650703663,5.505611997408023,0.0978763895972001,3.3125364770143784,0.11396716366342201,0.9843484738768915,0.13424502227119403
7,0.07001668504661394,6.633162194862838,0.08839940368471184,17.10764119044244,21.54532456279957,5.1311428457825965,0.10038263042199443,3.2511376602640056,0.11439745084271281,0.9934941203484412,0.13372222345199408
8,0.08000113348587228,5.668821434293064,0.09655725890871268,17.87960538708086,21.52755630441691,4.775078721112309,0.1034521671184927,3.186052058866643,0.11499266019223944,1.0020808542641753,0.13324660906001787
9,0.09001407829480408,5.0643413225946805,0.10234805069116201,18.407942667008232,21.511136395915855,4.4591021389422405,0.106657247594215,3.1163792900575333,0.11580059064551296,1.0101153772991394,0.1328176248423303
10,0.10000206101986564,4.654698876120786,0.10650631538301421,18.778164768286082,21.49368334450515,4.198851387938316,0.10951777929953112,3.044645216729472,0.11676928140915815,1.017483383947894,0.1324417552491301
