scan_point_id,model,requested_source_time_gyr,source_run_dir,status,selected_snapshot_idx,selected_source_time_gyr,direct_output_dir,direct_mass_chi2,direct_mass_ratio,direct_ratio_pull,direct_inner_pull,direct_outer_pull,direct_t_evo_phys_gyr,direct_vmax_kms,direct_max_cooling_code,direct_steps
M1_eta0p03_sigma0p1_vstar20,M1_dark_photon_massive,0.0500525405886592,D:\graverthermal-sidm\data\P6_eta_scan_n96\runs\M1_eta0p03_sigma0p1_vstar20\M1_eta0p03_sigma0p1_vstar20,complete,1,0.0500525405886592,D:\graverthermal-sidm\data\P6_eta_direct_best_n96\M1_eta0p03_sigma0p1_vstar20\t0p0500525_n96,0.024382221815772858,0.3675837872860983,0.15464204108735352,0.12855807154774224,-0.08862868641528229,0.0005500753739418721,5.377501559762738,1.15164638090827e-31,2398
M1_eta0p03_sigma0p1_vstar500,M1_dark_photon_massive,0.0500318003656804,D:\graverthermal-sidm\data\P6_eta_scan_n96\runs\M1_eta0p03_sigma0p1_vstar500\M1_eta0p03_sigma0p1_vstar500,complete,1,0.0500318003656804,D:\graverthermal-sidm\data\P6_eta_direct_best_n96\M1_eta0p03_sigma0p1_vstar500\t0p0500318_n96,0.03056550943879162,0.3679880868654662,0.1730192946949846,0.14876709824883091,-0.09183604911696883,0.0005498351416429617,5.379806413794654,0.0,2384
M1_eta0p03_sigma1_vstar20,M1_dark_photon_massive,0.4500001307328256,D:\graverthermal-sidm\data\P6_eta_scan_n96\runs\M1_eta0p03_sigma1_vstar20\M1_eta0p03_sigma1_vstar20,complete,9,0.4500001307328256,D:\graverthermal-sidm\data\P6_eta_direct_best_n96\M1_eta0p03_sigma1_vstar20\t0p45_n96,0.09420590100874217,0.3577320101627147,-0.2931660099755368,-0.2881077617457624,0.10582919554919219,0.005399035720327758,5.29804419382016,8.611077468910077e-31,21561
M1_eta0p03_sigma1_vstar500,M1_dark_photon_massive,0.5000705800512217,D:\graverthermal-sidm\data\P6_eta_scan_n96\runs\M1_eta0p03_sigma1_vstar500\M1_eta0p03_sigma1_vstar500,complete,10,0.5000705800512217,D:\graverthermal-sidm\data\P6_eta_direct_best_n96\M1_eta0p03_sigma1_vstar500\t0p500071_n96,0.07911494547892883,0.35816327241936163,-0.27356318012794983,-0.25379303188895297,0.12126022614007338,0.005998056548789428,5.302011369448375,0.0,23815
M1_eta0p1_sigma0p1_vstar20,M1_dark_photon_massive,0.0500525408886057,D:\graverthermal-sidm\data\P6_eta_scan_n96\runs\M1_eta0p1_sigma0p1_vstar20\M1_eta0p1_sigma0p1_vstar20,complete,1,0.0500525408886057,D:\graverthermal-sidm\data\P6_eta_direct_best_n96\M1_eta0p1_sigma0p1_vstar20\t0p0500525_n96,0.024382221815803202,0.36758378728609825,0.154642041087351,0.12855807153550475,-0.08862868643320428,0.000550075377238437,5.377501559761123,3.838821269678694e-31,2398
M1_eta0p1_sigma0p1_vstar500,M1_dark_photon_massive,0.0500318003656805,D:\graverthermal-sidm\data\P6_eta_scan_n96\runs\M1_eta0p1_sigma0p1_vstar500\M1_eta0p1_sigma0p1_vstar500,complete,1,0.0500318003656805,D:\graverthermal-sidm\data\P6_eta_direct_best_n96\M1_eta0p1_sigma0p1_vstar500\t0p0500318_n96,0.03056550943879162,0.3679880868654662,0.1730192946949846,0.14876709824883091,-0.09183604911696883,0.0005498351416429629,5.379806413794654,0.0,2384
M1_eta0p1_sigma1_vstar20,M1_dark_photon_massive,0.4500984600283625,D:\graverthermal-sidm\data\P6_eta_scan_n96\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20,complete,9,0.4500984600283625,D:\graverthermal-sidm\data\P6_eta_direct_best_n96\M1_eta0p1_sigma1_vstar20\t0p450098_n96,0.09420651608970398,0.35773203280384236,-0.2931649808333714,-0.28811171039257066,0.10582135145787674,0.005400216145799924,5.298043636814669,2.8703551377172015e-30,21565
M1_eta0p1_sigma1_vstar500,M1_dark_photon_massive,0.5000341163747796,D:\graverthermal-sidm\data\P6_eta_scan_n96\runs\M1_eta0p1_sigma1_vstar500\M1_eta0p1_sigma1_vstar500,complete,10,0.5000341163747796,D:\graverthermal-sidm\data\P6_eta_direct_best_n96\M1_eta0p1_sigma1_vstar500\t0p500034_n96,0.07911618781809743,0.3581632255240676,-0.27356531173222426,-0.2537950483057703,0.12126112845248113,0.0059976191240004514,5.3020111663354905,0.0,23813
M1_eta0p3_sigma0p1_vstar20,M1_dark_photon_massive,0.0500525414250469,D:\graverthermal-sidm\data\P6_eta_scan_n96\runs\M1_eta0p3_sigma0p1_vstar20\M1_eta0p3_sigma0p1_vstar20,complete,1,0.0500525414250469,D:\graverthermal-sidm\data\P6_eta_direct_best_n96\M1_eta0p3_sigma0p1_vstar20\t0p0500525_n96,0.02438222181583719,0.3675837872860985,0.1546420410873611,0.1285580715233061,-0.08862868645109045,0.0005500753831340689,5.37750155975952,1.1516463808989245e-30,2398
M1_eta0p3_sigma0p1_vstar500,M1_dark_photon_massive,0.0500318003656803,D:\graverthermal-sidm\data\P6_eta_scan_n96\runs\M1_eta0p3_sigma0p1_vstar500\M1_eta0p3_sigma0p1_vstar500,complete,1,0.0500318003656803,D:\graverthermal-sidm\data\P6_eta_direct_best_n96\M1_eta0p3_sigma0p1_vstar500\t0p0500318_n96,0.03056550943879576,0.3679880868654664,0.1730192946949947,0.14876709824886694,-0.09183604911693301,0.0005498351416429606,5.379806413794654,0.0,2384
M1_eta0p3_sigma1_vstar20,M1_dark_photon_massive,0.4500984600283625,D:\graverthermal-sidm\data\P6_eta_scan_n96\runs\M1_eta0p3_sigma1_vstar20\M1_eta0p3_sigma1_vstar20,complete,9,0.4500984600283625,D:\graverthermal-sidm\data\P6_eta_direct_best_n96\M1_eta0p3_sigma1_vstar20\t0p450098_n96,0.09420651608970398,0.35773203280384236,-0.2931649808333714,-0.28811171039257066,0.10582135145787674,0.005400216145799924,5.298043636814669,8.611065413151604e-30,21565
M1_eta0p3_sigma1_vstar500,M1_dark_photon_massive,0.5000093755778492,D:\graverthermal-sidm\data\P6_eta_scan_n96\runs\M1_eta0p3_sigma1_vstar500\M1_eta0p3_sigma1_vstar500,complete,10,0.5000093755778492,D:\graverthermal-sidm\data\P6_eta_direct_best_n96\M1_eta0p3_sigma1_vstar500\t0p500009_n96,0.0791167879428909,0.3581632020793443,-0.27356637740146394,-0.25379590972057,0.12126180005261006,0.005997322318422147,5.3020110842477735,0.0,23812
M2_eta0p03_sigma0p1_vstar20,M2_scalar_phi_massive,0.0500525405886592,D:\graverthermal-sidm\data\P6_eta_scan_n96\runs\M2_eta0p03_sigma0p1_vstar20\M2_eta0p03_sigma0p1_vstar20,complete,1,0.0500525405886592,D:\graverthermal-sidm\data\P6_eta_direct_best_n96\M2_eta0p03_sigma0p1_vstar20\t0p0500525_n96,0.024382221815772858,0.3675837872860983,0.15464204108735352,0.12855807154774224,-0.08862868641528229,0.0005500753739418721,5.377501559762738,8.979113740587238e-32,2398
