scan_point_id,model,requested_source_time_gyr,source_run_dir,status,selected_snapshot_idx,selected_source_time_gyr,direct_output_dir,direct_mass_chi2,direct_mass_ratio,direct_ratio_pull,direct_inner_pull,direct_outer_pull,direct_t_evo_phys_gyr,direct_vmax_kms,direct_max_cooling_code,direct_steps
M1_eta0p03_sigma0p1_vstar100,M1_dark_photon_massive,0.0500101426569681,D:\graverthermal-sidm\data\P6_eta_scan_n96_vstar100\runs\M1_eta0p03_sigma0p1_vstar100\M1_eta0p03_sigma0p1_vstar100,complete,1,0.0500101426569681,D:\graverthermal-sidm\data\P6_eta_direct_best_n96_vstar100\M1_eta0p03_sigma0p1_vstar100\t0p0500101_n96,0.025575254236106744,0.3676661306167165,0.15838491975181643,0.13298439752312177,-0.08882794746879535,0.0005496035876429695,5.378005210235679,0.0,2394
M1_eta0p03_sigma10_vstar100,M1_dark_photon_massive,0.3001498583642223,D:\graverthermal-sidm\data\P6_eta_scan_n96_vstar100\runs\M1_eta0p03_sigma10_vstar100\M1_eta0p03_sigma10_vstar100,complete,6,0.3001498583642223,D:\graverthermal-sidm\data\P6_eta_direct_best_n96_vstar100\M1_eta0p03_sigma10_vstar100\t0p30015_n96,0.5815847907427911,0.3478470958755346,-0.7424802957564521,-0.6324663086881656,0.4261116744671017,0.003921400418943971,5.232591733066047,0.0,14399
M1_eta0p03_sigma1_vstar100,M1_dark_photon_massive,0.5002490804975589,D:\graverthermal-sidm\data\P6_eta_scan_n96_vstar100\runs\M1_eta0p03_sigma1_vstar100\M1_eta0p03_sigma1_vstar100,complete,10,0.5002490804975589,D:\graverthermal-sidm\data\P6_eta_direct_best_n96_vstar100\M1_eta0p03_sigma1_vstar100\t0p500249_n96,0.09086532025826247,0.3578327023751659,-0.2885890912277559,-0.281934728234452,0.1066683142907404,0.006001754811152506,5.298722775608842,0.0,23938
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.0500101856534938,D:\graverthermal-sidm\data\P6_eta_scan_n96_vstar100\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,1,0.0500101856534938,D:\graverthermal-sidm\data\P6_eta_direct_best_n96_vstar100\M1_eta0p1_sigma0p1_vstar100\t0p0500102_n96,0.0255752542308925,0.3676661306167081,0.15838491975143543,0.13298439664266437,-0.08882794875757864,0.0005496040601798842,5.378005210119467,0.0,2394
M1_eta0p1_sigma10_vstar100,M1_dark_photon_massive,0.3001498583642125,D:\graverthermal-sidm\data\P6_eta_scan_n96_vstar100\runs\M1_eta0p1_sigma10_vstar100\M1_eta0p1_sigma10_vstar100,complete,6,0.3001498583642125,D:\graverthermal-sidm\data\P6_eta_direct_best_n96_vstar100\M1_eta0p1_sigma10_vstar100\t0p30015_n96,0.5815847907427911,0.3478470958755346,-0.7424802957564521,-0.6324663086881656,0.4261116744671017,0.0039214004189438425,5.232591733066047,0.0,14399
M1_eta0p1_sigma1_vstar100,M1_dark_photon_massive,0.5000655017053265,D:\graverthermal-sidm\data\P6_eta_scan_n96_vstar100\runs\M1_eta0p1_sigma1_vstar100\M1_eta0p1_sigma1_vstar100,complete,10,0.5000655017053265,D:\graverthermal-sidm\data\P6_eta_direct_best_n96_vstar100\M1_eta0p1_sigma1_vstar100\t0p500066_n96,0.09086638187073007,0.3578326184361712,-0.28859290663660586,-0.28193291107416596,0.1066780929899691,0.005999551416726527,5.2987231362332095,0.0,23929
M1_eta0p3_sigma0p1_vstar100,M1_dark_photon_massive,0.0500101782876766,D:\graverthermal-sidm\data\P6_eta_scan_n96_vstar100\runs\M1_eta0p3_sigma0p1_vstar100\M1_eta0p3_sigma0p1_vstar100,complete,1,0.0500101782876766,D:\graverthermal-sidm\data\P6_eta_direct_best_n96_vstar100\M1_eta0p3_sigma0p1_vstar100\t0p0500102_n96,0.025575254231766834,0.3676661306167099,0.15838491975151617,0.1329843967894059,-0.08882794854281327,0.0005496039792287351,5.378005210138838,0.0,2394
M1_eta0p3_sigma10_vstar100,M1_dark_photon_massive,0.3001498583642141,D:\graverthermal-sidm\data\P6_eta_scan_n96_vstar100\runs\M1_eta0p3_sigma10_vstar100\M1_eta0p3_sigma10_vstar100,complete,6,0.3001498583642141,D:\graverthermal-sidm\data\P6_eta_direct_best_n96_vstar100\M1_eta0p3_sigma10_vstar100\t0p30015_n96,0.5815847907427911,0.3478470958755346,-0.7424802957564521,-0.6324663086881656,0.4261116744671017,0.003921400418943863,5.232591733066047,0.0,14399
M1_eta0p3_sigma1_vstar100,M1_dark_photon_massive,0.5002490804975589,D:\graverthermal-sidm\data\P6_eta_scan_n96_vstar100\runs\M1_eta0p3_sigma1_vstar100\M1_eta0p3_sigma1_vstar100,complete,10,0.5002490804975589,D:\graverthermal-sidm\data\P6_eta_direct_best_n96_vstar100\M1_eta0p3_sigma1_vstar100\t0p500249_n96,0.09086532025826247,0.3578327023751659,-0.2885890912277559,-0.281934728234452,0.1066683142907404,0.006001754811152506,5.298722775608842,0.0,23938
M2_eta0p03_sigma0p1_vstar100,M2_scalar_phi_massive,0.0500101426569681,D:\graverthermal-sidm\data\P6_eta_scan_n96_vstar100\runs\M2_eta0p03_sigma0p1_vstar100\M2_eta0p03_sigma0p1_vstar100,complete,1,0.0500101426569681,D:\graverthermal-sidm\data\P6_eta_direct_best_n96_vstar100\M2_eta0p03_sigma0p1_vstar100\t0p0500101_n96,0.025575254236106744,0.3676661306167165,0.15838491975181643,0.13298439752312177,-0.08882794746879535,0.0005496035876429695,5.378005210235679,0.0,2394
