scan_point_id,model,eta_B,sigma_m_100_kms,vstar_kms,n_time_rows,max_direct_t_evo_phys_gyr,vmax_phys_kms_max_over_scan,threshold_ratio_vmax_over_vstar,max_cooling_code_over_scan,min_cooling_time_code_initial_state,min_cooling_time_gyr_initial_state,max_fractional_cooling_rate_per_gyr_initial_state,born_eta,m_chi_GeV,m_mediator_keV,activity_class,status
M1_eta0p03_sigma0p1_vstar100,M1_dark_photon_massive,0.03,0.09999999999999988,100.0,1,0.0005496035876429,5.378005210235679,0.053780052102356785,0.0,inf,inf,0.0,0.029999999999999995,0.060337782685369254,0.0016783709321756787,threshold_unreachable_and_cooling_slow,complete
M1_eta0p03_sigma10_vstar100,M1_dark_photon_massive,0.03,9.999999999999991,100.0,1,0.0039214004189439,5.232591733066047,0.05232591733066047,0.0,inf,inf,0.0,0.03,0.012999381213696468,0.0003615940559020432,threshold_unreachable_and_cooling_slow,complete
M1_eta0p03_sigma1_vstar100,M1_dark_photon_massive,0.03,0.9999999999999988,100.0,1,0.0060017548111525,5.298722775608842,0.05298722775608842,0.0,inf,inf,0.0,0.03,0.02800631783573644,0.0007790307777446902,threshold_unreachable_and_cooling_slow,complete
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.1,0.1,100.0,1,0.0005496040601798,5.378005210119467,0.053780052101194666,0.0,inf,inf,0.0,0.1,0.13464033288161192,0.0037451893481950833,threshold_unreachable_and_cooling_slow,complete
M1_eta0p1_sigma10_vstar100,M1_dark_photon_massive,0.1,10.000000000000002,100.0,1,0.0039214004189438,5.232591733066047,0.05232591733066047,0.0,inf,inf,0.0,0.1,0.029007380383758528,0.0008068765852489388,threshold_unreachable_and_cooling_slow,complete
M1_eta0p1_sigma1_vstar100,M1_dark_photon_massive,0.1,0.9999999999999994,100.0,1,0.0059995514167265,5.2987231362332095,0.0529872313623321,0.0,inf,inf,0.0,0.1,0.06249450656571975,0.0017383629058347824,threshold_unreachable_and_cooling_slow,complete
M1_eta0p3_sigma0p1_vstar100,M1_dark_photon_massive,0.3,0.09999999999999996,100.0,1,0.0005496039792287,5.378005210138838,0.05378005210138838,0.0,inf,inf,0.0,0.3,0.2800631783573644,0.0077903077774469,threshold_unreachable_and_cooling_slow,complete
M1_eta0p3_sigma10_vstar100,M1_dark_photon_massive,0.3,9.99999999999999,100.0,1,0.0039214004189438,5.232591733066047,0.05232591733066047,0.0,inf,inf,0.0,0.3,0.06033778268536926,0.0016783709321756789,threshold_unreachable_and_cooling_slow,complete
M1_eta0p3_sigma1_vstar100,M1_dark_photon_massive,0.3,0.9999999999999986,100.0,1,0.0060017548111525,5.298722775608842,0.05298722775608842,0.0,inf,inf,0.0,0.3,0.12999381213696468,0.0036159405590204317,threshold_unreachable_and_cooling_slow,complete
M2_eta0p03_sigma0p1_vstar100,M2_scalar_phi_massive,0.03,0.09999999999999988,100.0,1,0.0005496035876429,5.378005210235679,0.053780052102356785,0.0,inf,inf,0.0,0.029999999999999995,0.060337782685369254,0.0016783709321756787,threshold_unreachable_and_cooling_slow,complete
M2_eta0p03_sigma10_vstar100,M2_scalar_phi_massive,0.03,9.999999999999991,100.0,1,0.0039214004189439,5.232591733066047,0.05232591733066047,0.0,inf,inf,0.0,0.03,0.012999381213696468,0.0003615940559020432,threshold_unreachable_and_cooling_slow,complete
M2_eta0p03_sigma1_vstar100,M2_scalar_phi_massive,0.03,0.9999999999999988,100.0,1,0.0060017548111525,5.298722775608842,0.05298722775608842,0.0,inf,inf,0.0,0.03,0.02800631783573644,0.0007790307777446902,threshold_unreachable_and_cooling_slow,complete
M2_eta0p1_sigma0p1_vstar100,M2_scalar_phi_massive,0.1,0.1,100.0,1,0.0005496040601798,5.378005210119467,0.053780052101194666,0.0,inf,inf,0.0,0.1,0.13464033288161192,0.0037451893481950833,threshold_unreachable_and_cooling_slow,complete
M2_eta0p1_sigma10_vstar100,M2_scalar_phi_massive,0.1,10.000000000000002,100.0,1,0.0039214004189438,5.232591733066047,0.05232591733066047,0.0,inf,inf,0.0,0.1,0.029007380383758528,0.0008068765852489388,threshold_unreachable_and_cooling_slow,complete
M2_eta0p1_sigma1_vstar100,M2_scalar_phi_massive,0.1,0.9999999999999994,100.0,1,0.0059995514167265,5.2987231362332095,0.0529872313623321,0.0,inf,inf,0.0,0.1,0.06249450656571975,0.0017383629058347824,threshold_unreachable_and_cooling_slow,complete
M2_eta0p3_sigma0p1_vstar100,M2_scalar_phi_massive,0.3,0.09999999999999996,100.0,1,0.0005496039792287,5.378005210138838,0.05378005210138838,0.0,inf,inf,0.0,0.3,0.2800631783573644,0.0077903077774469,threshold_unreachable_and_cooling_slow,complete
M2_eta0p3_sigma10_vstar100,M2_scalar_phi_massive,0.3,9.99999999999999,100.0,1,0.0039214004189438,5.232591733066047,0.05232591733066047,0.0,inf,inf,0.0,0.3,0.06033778268536926,0.0016783709321756789,threshold_unreachable_and_cooling_slow,complete
M2_eta0p3_sigma1_vstar100,M2_scalar_phi_massive,0.3,0.9999999999999986,100.0,1,0.0060017548111525,5.298722775608842,0.05298722775608842,0.0,inf,inf,0.0,0.3,0.12999381213696468,0.0036159405590204317,threshold_unreachable_and_cooling_slow,complete
