point_id,model,eta_target,eta_B,born_valid,born_controlled,target_sigma_m_100_kms,sigma_m_100_kms,threshold_requested_kms,threshold_actual_kms,m_chi_GeV,m_mediator_keV,alpha_D,output_root,status,fluid_output_dir,fluid_current_time_gyr,fluid_v_max_final_kms,fluid_v_max_to_threshold,fluid_max_cooling_seen_code,diagnostic_path,best_posthoc_mass_chi2,best_posthoc_time_gyr,best_posthoc_mass_ratio,best_posthoc_r2d_rs
M1_eta0p03_sigma0p1_vstar20,M1_dark_photon_massive,0.03,0.0299999999999999,True,True,0.1,0.0999999999999998,20.0,20.0,0.007822666880341,8.703890742900229e-06,6.67590033632171e-11,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma0p1_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma0p1_vstar20\M1_eta0p03_sigma0p1_vstar20,0.5000869332895251,21.66288941607725,1.0831444708038624,9.314054599871268e-31,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma0p1_vstar20\M1_eta0p03_sigma0p1_vstar20\b1938_snapshot_diagnostics.csv,0.0243041274749793,0.0500525405886592,0.3675783543696105,2.0423331295497618
M1_eta0p03_sigma0p1_vstar500,M1_dark_photon_massive,0.03,0.03,True,True,0.1,0.0999999999999999,500.0,500.0,0.4441095682889592,0.3088365850316617,4.1724377102010694e-08,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma0p1_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma0p1_vstar500\M1_eta0p03_sigma0p1_vstar500,0.500035562379206,21.7224323100124,0.0434448646200248,0.0,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma0p1_vstar500\M1_eta0p03_sigma0p1_vstar500\b1938_snapshot_diagnostics.csv,0.023284952267175,0.0500318003656804,0.3675061652701858,2.0423331295497618
M1_eta0p03_sigma1_vstar20,M1_dark_photon_massive,0.03,0.03,True,True,1.0,0.9999999999999986,20.0,20.0,0.0036309603240863,4.039988208123133e-06,6.67590033632171e-11,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma1_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma1_vstar20\M1_eta0p03_sigma1_vstar20,0.5000081780650953,21.214686931873207,1.0607343465936605,8.933969624789902e-30,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma1_vstar20\M1_eta0p03_sigma1_vstar20\b1938_snapshot_diagnostics.csv,0.0002335723926038,0.4500001307328256,0.3645137691333821,1.8988078244652635
M1_eta0p03_sigma1_vstar500,M1_dark_photon_massive,0.03,0.03,True,True,1.0,1.0,500.0,500.0,0.2061374013070624,0.1433492444494064,4.172437710201069e-08,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma1_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma1_vstar500\M1_eta0p03_sigma1_vstar500,0.5000705800512217,21.38903649427477,0.0427780729885495,0.0,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma1_vstar500\M1_eta0p03_sigma1_vstar500\b1938_snapshot_diagnostics.csv,0.0206429613405901,0.5000705800512217,0.3610687609027238,1.8988078244652635
M1_eta0p1_sigma1_vstar500,M1_dark_photon_massive,0.1,0.0999999999999999,True,True,1.0,0.9999999999999988,500.0,500.0,0.4599838955975297,0.3198756920127207,1.3908125700670229e-07,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma1_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma1_vstar500\M1_eta0p1_sigma1_vstar500,0.5000341163747796,21.38905093245115,0.0427781018649022,0.0,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma1_vstar500\M1_eta0p1_sigma1_vstar500\b1938_snapshot_diagnostics.csv,0.0206458861723549,0.5000341163747796,0.3610685409704353,1.8988078244652635
M1_eta0p1_sigma0p1_vstar20,M1_dark_photon_massive,0.1,0.1,True,True,0.1,0.0999999999999999,20.0,20.0,0.0174558365573892,1.9422237524041944e-05,2.2253001121072369e-10,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma0p1_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma0p1_vstar20\M1_eta0p1_sigma0p1_vstar20,0.5001515294873228,21.662871499114672,1.0831435749557337,3.1046848666465582e-30,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma0p1_vstar20\M1_eta0p1_sigma0p1_vstar20\b1938_snapshot_diagnostics.csv,0.0243041274844784,0.0500525408886057,0.3675783543702763,2.0423331295497618
M1_eta0p1_sigma0p1_vstar500,M1_dark_photon_massive,0.1,0.1,True,True,0.1,0.0999999999999999,500.0,500.0,0.9910052615313224,0.6891512873701604,1.390812570067023e-07,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma0p1_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma0p1_vstar500\M1_eta0p1_sigma0p1_vstar500,0.5000049439852337,21.72243291544884,0.0434448658308976,0.0,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma0p1_vstar500\M1_eta0p1_sigma0p1_vstar500\b1938_snapshot_diagnostics.csv,0.023284952267182,0.0500318003656805,0.3675061652701863,2.0423331295497618
M1_eta0p1_sigma1_vstar20,M1_dark_photon_massive,0.1,0.1,True,True,1.0,0.9999999999999992,20.0,20.0,0.0081022816046147,9.015004081536823e-06,2.2253001121072369e-10,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma1_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20,0.5000162297568326,21.214683491317345,1.0607341745658672,2.97798987492997e-29,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20\b1938_snapshot_diagnostics.csv,0.0002354072340972,0.4500984600283625,0.3645150713978708,1.8988078244652635
M1_eta0p3_sigma0p1_vstar20,M1_dark_photon_massive,0.3,0.2999999999999999,True,False,0.1,0.0999999999999999,20.0,20.0,0.0363096032408634,4.039988208123133e-05,6.675900336321711e-10,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma0p1_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma0p1_vstar20\M1_eta0p3_sigma0p1_vstar20,0.5000072804240082,21.66291227403544,1.083145613701772,9.314054600015141e-30,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma0p1_vstar20\M1_eta0p3_sigma0p1_vstar20\b1938_snapshot_diagnostics.csv,0.0243041275015356,0.0500525414250469,0.3675783543714718,2.0423331295497618
M1_eta0p3_sigma0p1_vstar500,M1_dark_photon_massive,0.3,0.3,True,False,0.1,0.1,500.0,500.0,2.0613740130706244,1.4334924444940642,4.172437710201069e-07,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma0p1_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma0p1_vstar500\M1_eta0p3_sigma0p1_vstar500,0.5000531081624837,21.722432204118952,0.0434448644082379,0.0,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma0p1_vstar500\M1_eta0p3_sigma0p1_vstar500\b1938_snapshot_diagnostics.csv,0.023284952267182,0.0500318003656803,0.3675061652701863,2.0423331295497618
