point_id,model,eta_target,eta_B,born_valid,born_controlled,target_sigma_m_100_kms,sigma_m_100_kms,threshold_requested_kms,threshold_actual_kms,m_chi_GeV,m_mediator_keV,alpha_D,output_root,status,fluid_output_dir,fluid_current_time_gyr,fluid_v_max_final_kms,fluid_v_max_to_threshold,fluid_max_cooling_seen_code,diagnostic_path,best_posthoc_mass_chi2,best_posthoc_time_gyr,best_posthoc_mass_ratio,best_posthoc_r2d_rs
M1_eta0p03_sigma10_vstar20,M1_dark_photon_massive,0.03,0.0299999999999999,True,True,10.0,9.999999999999982,20.0,20.0,0.001685342489557,1.8751964154751635e-06,6.67590033632171e-11,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma10_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma10_vstar20\M1_eta0p03_sigma10_vstar20,0.5000348711617854,22.006916055097783,1.1003458027548894,8.933969624789901e-29,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma10_vstar20\M1_eta0p03_sigma10_vstar20\b1938_snapshot_diagnostics.csv,0.0019654749947837,0.1000207215913144,0.363219349314931,1.8988078244652635
M1_eta0p03_sigma10_vstar500,M1_dark_photon_massive,0.03,0.03,True,True,10.0,10.0,500.0,500.0,0.0956805060096817,0.0665368252343193,4.172437710201069e-08,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma10_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma10_vstar500\M1_eta0p03_sigma10_vstar500,0.5001630437465465,21.53441810278784,0.0430688362055756,0.0,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma10_vstar500\M1_eta0p03_sigma10_vstar500\b1938_snapshot_diagnostics.csv,0.0001950543964471,0.4000434409823772,0.3638783382356144,1.7653687843987245
M1_eta0p1_sigma10_vstar500,M1_dark_photon_massive,0.1,0.0999999999999999,True,True,10.0,9.999999999999996,500.0,500.0,0.21350561134472,0.1484731440190405,1.390812570067023e-07,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma10_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma10_vstar500\M1_eta0p1_sigma10_vstar500,0.5000086866028133,21.534263739023974,0.0430685274780479,0.0,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma10_vstar500\M1_eta0p1_sigma10_vstar500\b1938_snapshot_diagnostics.csv,0.0001966692141757,0.4000078783976579,0.3638770855712502,1.7653687843987245
M1_eta0p1_sigma10_vstar20,M1_dark_photon_massive,0.1,0.1,True,True,10.0,9.999999999999988,20.0,20.0,0.0037607459822766,4.184394227983493e-06,2.2253001121072366e-10,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma10_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20,0.5000348711617854,22.006916055097783,1.1003458027548894,2.9779898749299687e-28,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20\b1938_snapshot_diagnostics.csv,0.0019654749947837,0.1000207215913144,0.363219349314931,1.8988078244652635
M1_eta0p3_sigma10_vstar20,M1_dark_photon_massive,0.3,0.3,True,False,10.0,9.99999999999999,20.0,20.0,0.007822666880341,8.703890742900225e-06,6.675900336321711e-10,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma10_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma10_vstar20\M1_eta0p3_sigma10_vstar20,0.5000348711617854,22.006916055097783,1.1003458027548894,8.933969624789902e-28,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma10_vstar20\M1_eta0p3_sigma10_vstar20\b1938_snapshot_diagnostics.csv,0.0019654749947837,0.1000207215913144,0.363219349314931,1.8988078244652635
M1_eta0p3_sigma10_vstar500,M1_dark_photon_massive,0.3,0.3,True,False,10.0,9.999999999999996,500.0,500.0,0.4441095682889592,0.3088365850316617,4.172437710201069e-07,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma10_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma10_vstar500\M1_eta0p3_sigma10_vstar500,0.5000088346223986,21.53427986207548,0.0430685597241509,0.0,data\P6_eta_scan_n96\runs\M1_eta0p3_sigma10_vstar500\M1_eta0p3_sigma10_vstar500\b1938_snapshot_diagnostics.csv,0.0001963010428173,0.4000167651289462,0.3638773707190408,1.7653687843987245
M2_eta0p03_sigma10_vstar20,M2_scalar_phi_massive,0.03,0.0299999999999999,True,True,10.0,9.999999999999982,20.0,20.0,0.001685342489557,1.8751964154751635e-06,6.67590033632171e-11,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma10_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma10_vstar20\M2_eta0p03_sigma10_vstar20,0.5000348711617854,22.006916055097783,1.1003458027548894,6.493680156594301e-29,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma10_vstar20\M2_eta0p03_sigma10_vstar20\b1938_snapshot_diagnostics.csv,0.0019654749947837,0.1000207215913144,0.363219349314931,1.8988078244652635
M2_eta0p03_sigma10_vstar500,M2_scalar_phi_massive,0.03,0.03,True,True,10.0,10.0,500.0,500.0,0.0956805060096817,0.0665368252343193,4.172437710201069e-08,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma10_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma10_vstar500\M2_eta0p03_sigma10_vstar500,0.5001630437465465,21.53441810278784,0.0430688362055756,0.0,data\P6_eta_scan_n96\runs\M2_eta0p03_sigma10_vstar500\M2_eta0p03_sigma10_vstar500\b1938_snapshot_diagnostics.csv,0.0001950543964471,0.4000434409823772,0.3638783382356144,1.7653687843987245
M2_eta0p1_sigma10_vstar500,M2_scalar_phi_massive,0.1,0.0999999999999999,True,True,10.0,9.999999999999996,500.0,500.0,0.21350561134472,0.1484731440190405,1.390812570067023e-07,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma10_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma10_vstar500\M2_eta0p1_sigma10_vstar500,0.5000086866028133,21.534263739023974,0.0430685274780479,0.0,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma10_vstar500\M2_eta0p1_sigma10_vstar500\b1938_snapshot_diagnostics.csv,0.0001966692141757,0.4000078783976579,0.3638770855712502,1.7653687843987245
M2_eta0p1_sigma10_vstar20,M2_scalar_phi_massive,0.1,0.1,True,True,10.0,9.999999999999988,20.0,20.0,0.0037607459822766,4.184394227983493e-06,2.2253001121072366e-10,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma10_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20,0.5000348711617854,22.006916055097783,1.1003458027548894,2.164560052198102e-28,data\P6_eta_scan_n96\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20\b1938_snapshot_diagnostics.csv,0.0019654749947837,0.1000207215913144,0.363219349314931,1.8988078244652635
M2_eta0p3_sigma10_vstar20,M2_scalar_phi_massive,0.3,0.3,True,False,10.0,9.99999999999999,20.0,20.0,0.007822666880341,8.703890742900225e-06,6.675900336321711e-10,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma10_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma10_vstar20\M2_eta0p3_sigma10_vstar20,0.5000348711617854,22.006916055097783,1.1003458027548894,6.493680156594302e-28,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma10_vstar20\M2_eta0p3_sigma10_vstar20\b1938_snapshot_diagnostics.csv,0.0019654749947837,0.1000207215913144,0.363219349314931,1.8988078244652635
M2_eta0p3_sigma10_vstar500,M2_scalar_phi_massive,0.3,0.3,True,False,10.0,9.999999999999996,500.0,500.0,0.4441095682889592,0.3088365850316617,4.172437710201069e-07,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma10_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma10_vstar500\M2_eta0p3_sigma10_vstar500,0.5000088346223986,21.53427986207548,0.0430685597241509,0.0,data\P6_eta_scan_n96\runs\M2_eta0p3_sigma10_vstar500\M2_eta0p3_sigma10_vstar500\b1938_snapshot_diagnostics.csv,0.0001963010428173,0.4000167651289462,0.3638773707190408,1.7653687843987245
