point_id,model,eta_target,eta_B,born_valid,born_controlled,target_sigma_m_100_kms,sigma_m_100_kms,threshold_requested_kms,threshold_actual_kms,m_chi_GeV,m_mediator_keV,alpha_D,output_root,status,fluid_output_dir,fluid_current_time_gyr,fluid_v_max_final_kms,fluid_v_max_to_threshold,fluid_max_cooling_seen_code,diagnostic_path,best_posthoc_mass_chi2,best_posthoc_time_gyr,best_posthoc_mass_ratio,best_posthoc_r2d_rs
M1_eta0p03_sigma0p1_vstar20,M1_dark_photon_massive,0.03,0.029999999999999995,True,True,0.1,0.09999999999999987,20.0,20.0,0.007822666880341026,8.703890742900229e-06,6.67590033632171e-11,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma0p1_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma0p1_vstar20\M1_eta0p03_sigma0p1_vstar20,0.5000869332895251,21.66288941607725,1.0831444708038624,9.314054599871267e-31,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma0p1_vstar20\M1_eta0p03_sigma0p1_vstar20\b1938_snapshot_diagnostics.csv,0.0243041274749793,0.0500525405886592,0.3675783543696105,2.0423331295497618
M1_eta0p03_sigma0p1_vstar500,M1_dark_photon_massive,0.03,0.03,True,True,0.1,0.09999999999999996,500.0,500.0,0.4441095682889592,0.3088365850316617,4.172437710201069e-08,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma0p1_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma0p1_vstar500\M1_eta0p03_sigma0p1_vstar500,0.500035562379206,21.7224323100124,0.0434448646200248,0.0,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma0p1_vstar500\M1_eta0p03_sigma0p1_vstar500\b1938_snapshot_diagnostics.csv,0.023284952267175,0.0500318003656804,0.3675061652701858,2.0423331295497618
M1_eta0p03_sigma10_vstar20,M1_dark_photon_massive,0.03,0.029999999999999995,True,True,10.0,9.999999999999982,20.0,20.0,0.0016853424895570202,1.8751964154751633e-06,6.67590033632171e-11,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma10_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma10_vstar20\M1_eta0p03_sigma10_vstar20,0.5000348711617854,22.006916055097786,1.1003458027548894,8.933969624789902e-29,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma10_vstar20\M1_eta0p03_sigma10_vstar20\b1938_snapshot_diagnostics.csv,0.0019654749947837,0.1000207215913144,0.363219349314931,1.8988078244652635
M1_eta0p03_sigma10_vstar500,M1_dark_photon_massive,0.03,0.030000000000000002,True,True,10.0,10.0,500.0,500.0,0.09568050600968174,0.06653682523431935,4.1724377102010694e-08,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma10_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma10_vstar500\M1_eta0p03_sigma10_vstar500,0.5001630437465465,21.53441810278784,0.04306883620557568,0.0,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma10_vstar500\M1_eta0p03_sigma10_vstar500\b1938_snapshot_diagnostics.csv,0.0001950543964471,0.4000434409823772,0.3638783382356144,1.7653687843987245
M1_eta0p03_sigma1_vstar20,M1_dark_photon_massive,0.03,0.03,True,True,1.0,0.9999999999999986,20.0,20.0,0.003630960324086342,4.039988208123133e-06,6.67590033632171e-11,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma1_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma1_vstar20\M1_eta0p03_sigma1_vstar20,0.5000081780650953,21.214686931873207,1.0607343465936603,8.933969624789902e-30,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma1_vstar20\M1_eta0p03_sigma1_vstar20\b1938_snapshot_diagnostics.csv,0.0002335723926038,0.4500001307328256,0.3645137691333821,1.8988078244652635
M1_eta0p03_sigma1_vstar500,M1_dark_photon_massive,0.03,0.03,True,True,1.0,0.9999999999999999,500.0,500.0,0.20613740130706246,0.14334924444940644,4.1724377102010694e-08,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma1_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma1_vstar500\M1_eta0p03_sigma1_vstar500,0.5000705800512217,21.389036494274766,0.042778072988549534,0.0,data\P6_eta_scan_n96\runs\M1_eta0p03_sigma1_vstar500\M1_eta0p03_sigma1_vstar500\b1938_snapshot_diagnostics.csv,0.0206429613405901,0.5000705800512217,0.3610687609027238,1.8988078244652635
M1_eta0p1_sigma0p1_vstar20,M1_dark_photon_massive,0.1,0.1,True,True,0.1,0.09999999999999999,20.0,20.0,0.017455836557389245,1.9422237524041944e-05,2.225300112107237e-10,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma0p1_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma0p1_vstar20\M1_eta0p1_sigma0p1_vstar20,0.5001515294873228,21.662871499114672,1.0831435749557337,3.1046848666465586e-30,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma0p1_vstar20\M1_eta0p1_sigma0p1_vstar20\b1938_snapshot_diagnostics.csv,0.0243041274844784,0.0500525408886057,0.3675783543702763,2.0423331295497618
M1_eta0p1_sigma0p1_vstar500,M1_dark_photon_massive,0.1,0.1,True,True,0.1,0.09999999999999996,500.0,500.0,0.9910052615313223,0.6891512873701604,1.390812570067023e-07,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma0p1_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma0p1_vstar500\M1_eta0p1_sigma0p1_vstar500,0.5000049439852337,21.72243291544884,0.04344486583089768,0.0,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma0p1_vstar500\M1_eta0p1_sigma0p1_vstar500\b1938_snapshot_diagnostics.csv,0.023284952267182,0.0500318003656805,0.3675061652701863,2.0423331295497618
M1_eta0p1_sigma10_vstar20,M1_dark_photon_massive,0.1,0.1,True,True,10.0,9.999999999999988,20.0,20.0,0.0037607459822766127,4.184394227983493e-06,2.2253001121072369e-10,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma10_vstar20,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20,0.5000348711617854,22.006916055097786,1.1003458027548894,2.9779898749299687e-28,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20\b1938_snapshot_diagnostics.csv,0.0019654749947837,0.1000207215913144,0.363219349314931,1.8988078244652635
M1_eta0p1_sigma10_vstar500,M1_dark_photon_massive,0.1,0.09999999999999999,True,True,10.0,9.999999999999995,500.0,500.0,0.21350561134472004,0.14847314401904055,1.390812570067023e-07,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma10_vstar500,fluid_complete,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma10_vstar500\M1_eta0p1_sigma10_vstar500,0.5000086866028133,21.534263739023974,0.04306852747804795,0.0,data\P6_eta_scan_n96\runs\M1_eta0p1_sigma10_vstar500\M1_eta0p1_sigma10_vstar500\b1938_snapshot_diagnostics.csv,0.0001966692141757,0.4000078783976579,0.3638770855712502,1.7653687843987245
