point_id,model,eta_target,eta_B,born_valid,born_controlled,target_sigma_m_100_kms,sigma_m_100_kms,threshold_requested_kms,threshold_actual_kms,m_chi_GeV,m_mediator_keV,alpha_D,output_root,status,fluid_output_dir,fluid_current_time_gyr,fluid_v_max_final_kms,fluid_v_max_to_threshold,fluid_max_cooling_seen_code,diagnostic_path,best_posthoc_mass_chi2,best_posthoc_time_gyr,best_posthoc_mass_ratio,best_posthoc_r2d_rs
M1_eta0p03_sigma0p1_vstar100,M1_dark_photon_massive,0.03,0.029999999999999995,True,True,0.1,0.09999999999999988,100.0,100.0,0.060337782685369254,0.0016783709321756787,1.6689750840804273e-09,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p03_sigma0p1_vstar100,fluid_complete,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p03_sigma0p1_vstar100\M1_eta0p03_sigma0p1_vstar100,0.5001093306162838,21.696726166592942,0.21696726166592942,2.8840227282341025e-32,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p03_sigma0p1_vstar100\M1_eta0p03_sigma0p1_vstar100\b1938_snapshot_diagnostics.csv,0.0238073273873697,0.0500101426569681,0.3675433575367996,2.0423331295497618
M1_eta0p03_sigma10_vstar100,M1_dark_photon_massive,0.03,0.03,True,True,10.0,9.999999999999991,100.0,100.0,0.012999381213696468,0.0003615940559020432,1.6689750840804275e-09,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p03_sigma10_vstar100,fluid_complete,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p03_sigma10_vstar100\M1_eta0p03_sigma10_vstar100,0.5001376352611481,21.838960685328882,0.21838960685328881,6.483682653856144e-30,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p03_sigma10_vstar100\M1_eta0p03_sigma10_vstar100\b1938_snapshot_diagnostics.csv,9.693454301504371e-06,0.3001498583642223,0.3641140297023936,1.7653687843987245
M1_eta0p03_sigma1_vstar100,M1_dark_photon_massive,0.03,0.03,True,True,1.0,0.9999999999999988,100.0,100.0,0.02800631783573644,0.0007790307777446902,1.6689750840804275e-09,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p03_sigma1_vstar100,fluid_complete,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p03_sigma1_vstar100\M1_eta0p03_sigma1_vstar100,0.5002490804975589,21.256629827424902,0.21256629827424903,4.072112006604317e-31,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p03_sigma1_vstar100\M1_eta0p03_sigma1_vstar100\b1938_snapshot_diagnostics.csv,0.0016464294932351,0.5002490804975589,0.363300847456936,1.8988078244652635
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.1,0.1,True,True,0.1,0.1,100.0,100.0,0.13464033288161192,0.0037451893481950833,5.5632502802680915e-09,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p1_sigma0p1_vstar100,fluid_complete,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,0.5000401101944246,21.69674065311218,0.2169674065311218,9.613943602688387e-32,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100\b1938_snapshot_diagnostics.csv,0.0238073283603829,0.0500101856534938,0.3675433576056967,2.0423331295497618
M1_eta0p1_sigma10_vstar100,M1_dark_photon_massive,0.1,0.1,True,True,10.0,10.000000000000002,100.0,100.0,0.029007380383758528,0.0008068765852489388,5.563250280268092e-09,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p1_sigma10_vstar100,fluid_complete,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p1_sigma10_vstar100\M1_eta0p1_sigma10_vstar100,0.5000314516463235,21.83887323973145,0.2183887323973145,2.160680411520071e-29,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p1_sigma10_vstar100\M1_eta0p1_sigma10_vstar100\b1938_snapshot_diagnostics.csv,9.693454302049224e-06,0.3001498583642125,0.3641140297023916,1.7653687843987245
M1_eta0p1_sigma1_vstar100,M1_dark_photon_massive,0.1,0.1,True,True,1.0,0.9999999999999994,100.0,100.0,0.06249450656571975,0.0017383629058347824,5.5632502802680915e-09,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p1_sigma1_vstar100,fluid_complete,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p1_sigma1_vstar100\M1_eta0p1_sigma1_vstar100,0.5000655017053265,21.25669843559894,0.2125669843559894,1.3571054639087894e-30,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p1_sigma1_vstar100\M1_eta0p1_sigma1_vstar100\b1938_snapshot_diagnostics.csv,0.0016531520531989,0.5000655017053265,0.3632990524189219,1.8988078244652635
M1_eta0p3_sigma0p1_vstar100,M1_dark_photon_massive,0.3,0.3,True,False,0.1,0.09999999999999996,100.0,100.0,0.2800631783573644,0.0077903077774469,1.6689750840804276e-08,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p3_sigma0p1_vstar100,fluid_complete,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p3_sigma0p1_vstar100\M1_eta0p3_sigma0p1_vstar100,0.5001752362634647,21.69671288609043,0.2169671288609043,2.884144441448779e-31,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p3_sigma0p1_vstar100\M1_eta0p3_sigma0p1_vstar100\b1938_snapshot_diagnostics.csv,0.0238073281936977,0.0500101782876766,0.367543357593894,2.0423331295497618
M1_eta0p3_sigma10_vstar100,M1_dark_photon_massive,0.3,0.3,True,False,10.0,9.99999999999999,100.0,100.0,0.06033778268536926,0.0016783709321756789,1.6689750840804276e-08,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p3_sigma10_vstar100,fluid_complete,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p3_sigma10_vstar100\M1_eta0p3_sigma10_vstar100,0.5001882593964064,21.83900509523274,0.21839005095232739,6.48448960707445e-29,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p3_sigma10_vstar100\M1_eta0p3_sigma10_vstar100\b1938_snapshot_diagnostics.csv,9.693454302162357e-06,0.3001498583642141,0.3641140297023912,1.7653687843987245
M1_eta0p3_sigma1_vstar100,M1_dark_photon_massive,0.3,0.3,True,False,1.0,0.9999999999999986,100.0,100.0,0.12999381213696468,0.0036159405590204317,1.6689750840804273e-08,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p3_sigma1_vstar100,fluid_complete,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p3_sigma1_vstar100\M1_eta0p3_sigma1_vstar100,0.5002490804975589,21.256629827424902,0.21256629827424903,4.072112006604317e-30,data\P6_eta_scan_n96_vstar100\runs\M1_eta0p3_sigma1_vstar100\M1_eta0p3_sigma1_vstar100\b1938_snapshot_diagnostics.csv,0.0016464294932351,0.5002490804975589,0.363300847456936,1.8988078244652635
M2_eta0p03_sigma0p1_vstar100,M2_scalar_phi_massive,0.03,0.029999999999999995,True,True,0.1,0.09999999999999988,100.0,100.0,0.060337782685369254,0.0016783709321756787,1.6689750840804273e-09,data\P6_eta_scan_n96_vstar100\runs\M2_eta0p03_sigma0p1_vstar100,fluid_complete,data\P6_eta_scan_n96_vstar100\runs\M2_eta0p03_sigma0p1_vstar100\M2_eta0p03_sigma0p1_vstar100,0.5001093306162838,21.696726166592942,0.21696726166592942,2.5568031349215973e-32,data\P6_eta_scan_n96_vstar100\runs\M2_eta0p03_sigma0p1_vstar100\M2_eta0p03_sigma0p1_vstar100\b1938_snapshot_diagnostics.csv,0.0238073273873697,0.0500101426569681,0.3675433575367996,2.0423331295497618
