snapshot_idx,snapshot_time_gyr,r2D_rs,M_inner_sim_msun,M_outer_sim_msun,mass_ratio,ratio_nsigma,mass_mu,M_inner_phys_msun,M_outer_phys_msun,mass_chi2,mass_nsigma_dof1,mass_residual_inner_sigma,mass_residual_outer_sigma
0,0.0,1.2263306841775632,1586855833.5206592,5281916020.922766,0.3004318560224725,2.897718470895637,0.00023207246879788492,368265.55091146484,1225787.290958647,9.571014596945139,3.093705641612521,-2.7016404327873884,1.5073664348371005
0,0.0,1.3190254178484833,1708121748.0711641,5515341574.566189,0.30970371009260966,2.476270558616676,0.00022084368124531737,377227.89485922246,1218028.3366525422,6.8869577873580505,2.624301390343352,-2.274862149560835,1.3084188885267238
0,0.0,1.4187266741165963,1835467715.1220994,5752550533.039891,0.31907024624643504,2.050518915260977,0.00021032033868443272,386036.1914888218,1209878.3764082638,4.651361861310532,2.1567016161978763,-1.8554194529132468,1.0994455489298411
0,0.0,1.525964055441083,1969008633.83077,5993185821.092037,0.32854122875702707,1.6200197102340663,0.00020045165942788402,394691.0480792087,1201344.0430975645,2.8585524461995555,1.690725420108054,-1.4432834247995856,0.8806164896811406
0,0.0,1.64130719537513,2108789695.2627645,6236478218.359757,0.33813790755407985,1.1838070376407581,0.0001912009782945802,403202.6527517702,1192420.7364632261,1.5022406436076134,1.22565926896818,-1.0379689165823704,0.6518137554673371
0,0.0,1.7653687843987245,2254829928.7912636,6482507131.182098,0.34783300398469297,0.7431208362492528,0.00018251417426670637,411538.4225651938,1183149.4362257363,0.5823852132548673,0.7631416731216212,-0.6410274968955338,0.4140881083522123
0,0.0,1.8988078244652633,2407127443.007407,6731151901.828927,0.3576100314053772,0.2987104989454229,0.00017434814499996996,419678.2044668624,1173563.8477968934,0.09254727150305056,0.30421583046095835,-0.25341883491131567,0.1683037896639345
0,0.0,2.0423331295497618,2565661244.7492175,6982232357.232948,0.36745572382612407,0.1488209747248882,0.00016666535413313927,427606.83994179923,1163696.228458093,0.022585694979667243,0.15028537846266762,0.124135235323773,-0.08471209081812786
0,0.0,2.196707090793235,2730392273.888644,7235540513.2801285,0.37735843906578587,0.5989443947095153,0.00015943221778220136,435312.4956414543,1153578.2708852184,0.3595880331561616,0.599656596024893,0.4910712210216332,-0.34414690037901535
0,0.0,2.362749726243281,2901259698.3338766,7490847150.153155,0.38730728850535395,1.051164823780792,0.00015261845328460913,442785.7677366879,1143241.5058477968,1.0884246859320459,1.043275939496376,0.8469413207946622,-0.6091921577488001
0,0.0,2.541343036702639,3077803847.7119164,7747902638.50411,0.397243485277733,1.5028101316162037,0.00014620324918138554,449984.9228784525,1132768.5400903309,2.185934150059066,1.4784904971149007,1.1897582323072629,-0.8777297412735673
0,0.0,2.7334356908235615,3259986311.8107615,8006435431.121667,0.40717074906255146,1.954049394562497,0.00014015939988655562,456917.7251017821,1122177.185256469,3.6309679459517428,1.90550989132876,1.5198916715134345,-1.1493029421418188
0,0.0,2.940048064334711,3447772099.459825,8265681557.292294,0.41711891216255137,2.4062386263806745,0.00013446629346896467,463609.1349400733,1111455.5620038745,5.408585662784684,2.325636614517557,1.8385302352415858,-1.424216358875014
0,0.0,3.1622776601683795,3641064561.201552,8525026636.635577,0.4271030128579759,2.8600613852636085,0.00012910291120920293,470072.03475177934,1100605.7569256527,7.504771373208378,2.7394837785992414,2.1462873691323496,-1.7024164890858273
1,0.05001014265696819,1.2263306841775632,1587870941.6399717,5281872732.454048,0.30062650542172753,2.8888707709295,0.00023204416061709766,368456.1798211277,1225627.7246886357,9.509730487155956,3.0837850909484525,-2.692562865660587,1.5032749920162993
1,0.05001014265696819,1.3190254178484833,1709096531.2233233,5515279383.674164,0.3098839446433916,2.4680780790356796,0.00022081825862136243,377399.71984054527,1217874.3893132298,6.839484205536229,2.615240754794141,-2.2666800075930826,1.3044715208520468
1,0.05001014265696819,1.4187266741165963,1836384664.2809813,5752472709.319075,0.3192339637363279,2.043077211174938,0.00021029796160661047,386187.9516239301,1209733.2849674572,4.61643038705907,2.1485879984443437,-1.8481927798128537,1.095725255575825
1,0.05001014265696819,1.525964055441083,1969860138.1905456,5993094489.912796,0.3286883164458848,1.6133339061950782,0.00020043223218914932,394823.4645979572,1201209.306333713,2.834318066403848,1.6835433069582284,-1.4369778762877519,0.8771617008644359
1,0.05001014265696819,1.64130719537513,2109571689.5975769,6236375591.849415,0.3382688644273873,1.1778544524904198,0.00019118431012456674,403317.0081340294,1192297.165205417,1.4868452928655298,1.2193626584677464,-1.0325234221890762,0.6486452616773581
1,0.05001014265696819,1.7653687843987245,2255540368.915886,6482395761.339506,0.34794857518076105,0.7378676000643398,0.00018250003648743375,411636.19962602895,1183037.4629704459,0.5740680382329919,0.7576727778091225,-0.636371446379574,0.4112169992422016
1,0.05001014265696819,1.8988078244652633,2407765811.9779906,6731034131.327141,0.35771112803780386,0.29411519747148496,0.00017433629905267423,419760.98064579995,1173463.5792528058,0.08970619090877577,0.2995099178804865,-0.24947711210476423,0.1657328013539947
1,0.05001014265696819,2.0423331295497618,2566228271.913931,6982110326.009611,0.3675433575367996,0.15280432521014045,0.0001666555597643998,427676.2091390445,1163607.5047179277,0.02380732738736974,0.1542962325767215,0.1274385304306911,-0.0869870585146754
1,0.05001014265696819,2.196707090793235,2730889721.766977,7235416148.872723,0.37743367701005687,0.6023643012672881,0.00015942423938160785,435370.01672775095,1153500.716143436,0.36365840544194017,0.6030409649782842,0.49381032036909267,-0.3461354835016402
1,0.05001014265696819,2.362749726243281,2901693753.9716244,7490722166.46698,0.3873716965450097,1.054092461946962,0.00015261199787755178,442833.2810224228,1143174.0753701888,1.0943718374187463,1.0461222860730701,0.8492038582106082,-0.6109211443541332
1,0.05001014265696819,2.541343036702639,3078187363.1947384,7747778541.382778,0.39729934803290873,1.5053493477605546,0.0001461979420719962,450024.65781109506,1132709.2783797346,2.19310989185061,1.4809152210206395,1.1916503719569078,-0.8792492723144973
1,0.05001014265696819,2.7334356908235615,3260313453.0828724,8006313528.432978,0.4072178089834301,1.9561884818751611,0.00014015522892724905,456949.97839141986,1122126.7054408551,3.6386159053772147,1.9075156369941544,1.5214275424485648,-1.1505972963883302
1,0.05001014265696819,2.940048064334711,3448044341.5047636,8265559443.883588,0.4171580114950687,2.4080158687678264,0.00013446315915602143,463634.93506877415,1111413.2350164747,5.4161973290693375,2.3272725085535937,1.8397588127987692,-1.4253016662442377
1,0.05001014265696819,3.1622776601683795,3641284829.269827,8524907060.471287,0.4271348418745722,2.861508158745257,0.0001291006502078643,470092.2390507668,1100571.0444684562,7.5119335337777615,2.740790676753291,2.147249478607943,-1.7033065520908672
2,0.10000604320428483,1.2263306841775632,1588766426.4616017,5281799149.584318,0.3008002351976294,2.8809739629339615,0.00023202040622170974,368626.23165903497,1225485.1842680345,9.455213663014469,3.0749331152099013,-2.684465159093573,1.4996201094367827
2,0.10000604320428483,1.3190254178484833,1709954165.4965422,5515189720.08792,0.3100444866417547,2.460780715473719,0.0002207969673942019,377552.69412471977,1217737.16479909,6.797346667547355,2.6071721591692705,-2.2593955178704874,1.3009529435664104
2,0.10000604320428483,1.4187266741165963,1837190431.1167862,5752370079.653116,0.31937973490529903,2.0364512489489774,0.00021027924268381492,386323.01252118923,1209604.0239864935,4.585446229601125,2.141365505839936,-1.8417613085147986,1.0924108714485505
2,0.10000604320428483,1.525964055441083,1970606362.042906,5992980121.435226,0.3288191053720659,1.6073889550050298,0.00020041605690289242,394941.15678839287,1201089.4450354655,2.812860473247352,1.6771584520394465,-1.4313734862670064,0.8740883342427058
2,0.10000604320428483,1.64130719537513,2110254285.188888,6236251778.943661,0.33838503639542555,1.1725739084886808,0.00019117052164713274,403418.41250765696,1192187.505703519,1.4732571615509087,1.2137780528378772,-1.0276946424925257,0.6458334795774128
2,0.10000604320428483,1.7653687843987245,2256157234.7198076,6482265179.407581,0.3480507465024748,0.7332234490773512,0.00018248843762957396,411722.60881067766,1182938.4448906793,0.5667663324258161,0.7528388489084606,-0.6322567233010639,0.4086780741199827
2,0.10000604320428483,1.8988078244652633,2408316339.9783115,6730899093.535664,0.35780009572439614,0.2900712117172905,0.00017432668433016666,419833.80236658145,1173375.3215369964,0.08724300031126908,0.29536926094512456,-0.24600941111516883,0.16346978299990775
2,0.10000604320428483,2.0423331295497618,2566713072.0104675,6981972900.183657,0.36762002784957126,0.15628933942703332,0.0001666477204866498,427736.88259383064,1163529.8683151696,0.024902357897878046,0.1578048094890585,0.1303277425633638,-0.08897773550847211
2,0.10000604320428483,2.196707090793235,2731310412.857547,7235278173.017862,0.3774990190485388,0.6053343939255567,0.0001594179693545025,435419.959694558,1153433.3540574624,0.3672115534959335,0.6059798292814155,0.49618855688371416,-0.3478627164753226
2,0.10000604320428483,2.362749726243281,2902053731.2302833,7490585257.735035,0.3874268340025265,1.0565987100159067,0.0001526070802485124,442873.94664735463,1143116.3455354944,1.0994753089077294,1.0485586816710495,0.8511403165406969,-0.612401396525785
2,0.10000604320428483,2.541343036702639,3078501857.384802,7747644106.863173,0.3973468340727915,1.5075078041188614,0.00014619397642241685,450058.42795488023,1132658.8998880314,2.1992182887658385,1.4829761592034574,1.1932584740419157,-0.880541028512015
2,0.10000604320428483,2.7334356908235615,3260575832.1143312,8006182778.257172,0.40725723136989267,1.9579804085325518,0.00014015223576657428,456976.99275728187,1122084.416328586,3.6450283284455782,1.9091957281655483,1.5227139408229462,-1.1516816326003605
2,0.10000604320428483,2.940048064334711,3448256146.534356,8265429358.083628,0.4171902023652221,2.4094790901384346,0.0001344610591425644,463656.1736578673,1111378.3857559708,5.422467688282729,2.328619266493071,1.8407701741841571,-1.4261952370263886
2,0.10000604320428483,3.1622776601683795,3641448936.6214504,8524780631.1805935,0.42716042724927544,2.862671130322678,0.00012909929162561976,470108.4782086956,1100543.1407492184,7.517692914139053,2.7418411540676555,2.1480227718426477,-1.7040220320713229
3,0.15002896332518043,1.2263306841775632,1589610340.8820586,5281710927.410568,0.30096504006541436,2.8734828325800987,0.00023199866028536948,368787.4694604071,1225349.8591738483,9.40365507209431,3.066537961952258,-2.676787168552043,1.4961502352268794
