model,eta_B,vmax_phys_kms,vstar_over_vmax,vstar_kms,sigma_m_100_target,sigma_m_100_kms,min_cooling_time_gyr_initial_state,local_dynamical_time_gyr_initial_state,cooling_to_dynamical_time_initial_state,cosmic_age_at_lens_gyr,cooling_to_cosmic_age_initial_state,cooling_min_shell_index_initial_state,m_chi_GeV,m_mediator_keV,born_controlled
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.1,0.0999999999999998,1.7388610147630397e+26,5.983746100421977e-05,2.9059739259999925e+30,6.37,2.729766114227692e+25,0,0.000163020682704,1.294905616081733e-10,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.11220184543019636,0.1122018454301961,1.549761510691756e+26,5.983746100421977e-05,2.589951987739697e+30,6.37,2.4329066101911395e+25,0,0.000156883056116,1.2461532307626587e-10,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.12589254117941673,0.1258925411794165,1.3812264002875984e+26,5.983746100421977e-05,2.308297138794364e+30,6.37,2.168330298724644e+25,0,0.0001509765073245,1.1992363422124463e-10,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.14125375446227545,0.1412537544622751,1.2310193250314182e+26,5.983746100421977e-05,2.0572719904419173e+30,6.37,1.9325264129221636e+25,0,0.0001452923363951,1.1540858451274999e-10,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.15848931924611134,0.1584893192461109,1.0971471282950218e+26,5.983746100421977e-05,1.833545591477637e+30,6.37,1.7223659784851206e+25,0,0.0001398221709407,1.1106352359756174e-10,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.1778279410038923,0.1778279410038919,9.77833407363683e+25,5.983746100421977e-05,1.634149228515437e+30,6.37,1.53506029413451e+25,0,0.0001345579537891,1.0688205150409243e-10,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.19952623149688797,0.1995262314968874,8.714949416513994e+25,5.983746100421977e-05,1.45643703296492e+30,6.37,1.3681239272392456e+25,0,0.0001294919311158,1.0285800921567609e-10,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.22387211385683395,0.2238721138568334,7.767206843256235e+25,5.983746100421977e-05,1.2980508719627135e+30,6.37,1.2193417336352016e+25,0,0.0001246166410228,9.898546959876628e-11,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.251188643150958,0.2511886431509574,6.9225303857309685e+25,5.983746100421977e-05,1.1568890573820953e+30,6.37,1.0867394640080014e+25,0,0.0001199249025479,9.525872867268167e-11,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.28183829312644537,0.2818382931264447,6.169711700542085e+25,5.983746100421977e-05,1.0310784577084569e+30,6.37,9.68557566804095e+24,0,0.0001154098050877,9.167229720804078e-11,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.31622776601683794,0.3162277660168371,5.49876134112288e+25,5.983746100421977e-05,9.189496427221576e+29,6.37,8.632278400506875e+24,0,0.0001110646982186,8.82208926415098e-11,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.35481338923357547,0.3548133892335746,4.900776203849339e+25,5.983746100421977e-05,8.190147311737932e+29,6.37,7.693526222683421e+24,0,0.0001068831819014,8.489943129495546e-11,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.3981071705534972,0.3981071705534963,4.36782138926426e+25,5.983746100421977e-05,7.299476475040005e+29,6.37,6.856862463523171e+24,0,0.0001028590970542,8.170302088754188e-11,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.44668359215096315,0.446683592150962,3.892824910782411e+25,5.983746100421977e-05,6.505665256264611e+29,6.37,6.111185103269091e+24,0,9.898651648091562e-05,7.862695332974204e-11,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.5011872336272722,0.5011872336272709,3.469483853725238e+25,5.983746100421977e-05,5.798180262829948e+29,6.37,5.446599456397548e+24,0,9.525973614037388e-05,7.566669778865052e-11,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.5623413251903491,0.5623413251903479,3.0921807394725016e+25,5.983746100421977e-05,5.16763359871576e+29,6.37,4.854286875153063e+24,0,9.167326674520542e-05,7.281789401438269e-11,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.6309573444801932,0.6309573444801919,2.7559089849339656e+25,5.983746100421977e-05,4.605658292786883e+29,6.37,4.326387731450496e+24,0,8.82218256762075e-05,7.007634591773082e-11,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.7079457843841379,0.707945784384136,2.456206468233615e+25,5.983746100421977e-05,4.1047972741697744e+29,6.37,3.855897124385581e+24,0,8.490032920148128e-05,6.743801538961741e-11,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.7943282347242815,0.7943282347242794,2.189096319063384e+25,5.983746100421977e-05,3.6584044214526535e+29,6.37,3.4365719294558615e+24,0,8.170388498844944e-05,6.489901635324225e-11,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,0.8912509381337456,0.8912509381337439,1.951034148030369e+25,5.983746100421977e-05,3.2605563726923195e+29,6.37,3.062847956091632e+24,0,7.86277848977917e-05,6.245560904016248e-11,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,1.0,0.9999999999999972,1.73886101476304e+25,5.983746100421977e-05,2.9059739259999927e+29,6.37,2.7297661142276925e+24,0,7.566749804868402e-05,6.010419448187449e-11,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,1.1220184543019633,1.1220184543019611,1.549761510691756e+25,5.983746100421977e-05,2.589951987739697e+29,6.37,2.43290661019114e+24,0,7.28186641451272e-05,5.784130920878445e-11,True
M1_dark_photon_massive,0.1,5.343777930616317,0.1,0.5343777930616317,1.2589254117941673,1.258925411794165,1.381226400287598e+25,5.983746100421977e-05,2.3082971387943635e+29,6.37,2.168330298724644e+24,0,7.00770870535352e-05,5.566362014875924e-11,True
