scan_point_id,model,requested_source_time_gyr,source_run_dir,status,selected_snapshot_idx,selected_source_time_gyr,direct_output_dir,direct_mass_chi2,direct_mass_ratio,direct_ratio_pull,direct_inner_pull,direct_outer_pull,direct_t_evo_phys_gyr,direct_vmax_kms,direct_max_cooling_code,direct_steps
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.05,D:\graverthermal-sidm\data\P6_final_n192\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,1,0.0500025587007344,D:\graverthermal-sidm\data\P6_final_direct_time_n192\M1_eta0p1_sigma0p1_vstar100\t0p05_n192,0.02034281888892347,0.3672882549392044,0.14120875259217672,0.11874024037691111,-0.07901629075169778,0.0005490741515388441,5.366727890251317,0.0,2369
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.1,D:\graverthermal-sidm\data\P6_final_n192\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,2,0.1000032970348522,D:\graverthermal-sidm\data\P6_final_direct_time_n192\M1_eta0p1_sigma0p1_vstar100\t0p1_n192,0.02315434042846642,0.36749583776612677,0.15064433563410162,0.12771240734334735,-0.08272775494979503,0.0010981538493926206,5.367705971313985,0.0,4724
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.2,D:\graverthermal-sidm\data\P6_final_n192\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,4,0.2000305951118253,D:\graverthermal-sidm\data\P6_final_direct_time_n192\M1_eta0p1_sigma0p1_vstar100\t0p2_n192,0.029344200692160836,0.36791080050390157,0.1695062782602291,0.14588346442132025,-0.08978984074267105,0.002196657754920598,5.3697025040483295,0.0,9401
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.3,D:\graverthermal-sidm\data\P6_final_n192\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,6,0.3000015042940931,D:\graverthermal-sidm\data\P6_final_direct_time_n192\M1_eta0p1_sigma0p1_vstar100\t0p3_n192,0.03630568062227917,0.36832611967969037,0.18838442261426533,0.16425205275070454,-0.09657610361501932,0.0032946100711577927,5.371728826347195,0.0,14026
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.4,D:\graverthermal-sidm\data\P6_final_n192\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,8,0.4000059751124822,D:\graverthermal-sidm\data\P6_final_direct_time_n192\M1_eta0p1_sigma0p1_vstar100\t0p4_n192,0.04405570175827907,0.36874242070645397,0.2073071965580653,0.18275220092394878,-0.1032343683844277,0.004392990802778532,5.37377480051479,0.0,18606
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.5,D:\graverthermal-sidm\data\P6_final_n192\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,10,0.5000474472228108,D:\graverthermal-sidm\data\P6_final_direct_time_n192\M1_eta0p1_sigma0p1_vstar100\t0p5_n192,0.0525976109188063,0.36915953589448,0.22626697783197472,0.20134445973530335,-0.10980901353124481,0.005491831907875068,5.375835340248825,0.0,23140
M1_eta0p1_sigma0p1_vstar20,M1_dark_photon_massive,0.05,D:\graverthermal-sidm\data\P6_final_n192\runs\M1_eta0p1_sigma0p1_vstar20\M1_eta0p1_sigma0p1_vstar20,complete,1,0.0500064419602275,D:\graverthermal-sidm\data\P6_final_direct_time_n192\M1_eta0p1_sigma0p1_vstar20\t0p05_n192,0.01929099535125833,0.3672068222936285,0.13750726870236224,0.11434943283055743,-0.07883655600410361,0.0005491226074099762,5.366228016013892,3.71272922993896e-31,2371
M1_eta0p1_sigma0p1_vstar20,M1_dark_photon_massive,0.1,D:\graverthermal-sidm\data\P6_final_n192\runs\M1_eta0p1_sigma0p1_vstar20\M1_eta0p1_sigma0p1_vstar20,complete,2,0.1000252769712107,D:\graverthermal-sidm\data\P6_final_direct_time_n192\M1_eta0p1_sigma0p1_vstar20\t0p1_n192,0.02093158261920808,0.36733317180703495,0.1432504284026556,0.11906793230403924,-0.08218521835493783,0.0010984153690887712,5.366722191054329,3.722957755168806e-31,4735
M1_eta0p1_sigma0p1_vstar20,M1_dark_photon_massive,0.2,D:\graverthermal-sidm\data\P6_final_n192\runs\M1_eta0p1_sigma0p1_vstar20\M1_eta0p1_sigma0p1_vstar20,complete,4,0.2000257598535993,D:\graverthermal-sidm\data\P6_final_direct_time_n192\M1_eta0p1_sigma0p1_vstar20\t0p2_n192,0.02440771132966094,0.3675856026257955,0.15472455652813422,0.12890050000656075,-0.08827441547651035,0.002196671531515277,5.36776687448454,3.7440073067997466e-31,9440
M1_eta0p1_sigma0p1_vstar20,M1_dark_photon_massive,0.3,D:\graverthermal-sidm\data\P6_final_n192\runs\M1_eta0p1_sigma0p1_vstar20\M1_eta0p1_sigma0p1_vstar20,complete,6,0.3000088898829579,D:\graverthermal-sidm\data\P6_final_direct_time_n192\M1_eta0p1_sigma0p1_vstar20\t0p3_n192,0.028145392126459202,0.36783770742085603,0.16618386539452276,0.1390105526459603,-0.0939226191048988,0.0032948243728129064,5.368853699463679,3.7655271945599664e-31,14116
