scan_point_id,model,requested_source_time_gyr,source_run_dir,status,selected_snapshot_idx,selected_source_time_gyr,direct_output_dir,direct_mass_chi2,direct_mass_ratio,direct_ratio_pull,direct_inner_pull,direct_outer_pull,direct_t_evo_phys_gyr,direct_vmax_kms,direct_max_cooling_code,direct_steps
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.0,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,0,0.0,D:\graverthermal-sidm\data\P6_final_direct_time_n192_initial\M1_eta0p1_sigma0p1_vstar100\t0_n192,0.01771670599385588,0.36708047870635074,0.1317643783715552,0.10997924109365392,-0.07497514603066688,0.0,5.3657807860517295,0.0,0
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.01,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,1,0.0100006176241634,D:\graverthermal-sidm\data\P6_final_direct_time_n192_initial\M1_eta0p1_sigma0p1_vstar100\t0p01_n192,0.018227233110950605,0.367122048881421,0.13365393178384075,0.11169141696694229,-0.07584365818489534,0.00010981354561058423,5.365964704271667,0.0,475
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.02,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,2,0.0200050463376075,D:\graverthermal-sidm\data\P6_final_direct_time_n192_initial\M1_eta0p1_sigma0p1_vstar100\t0p02_n192,0.01874463725786512,0.36716357759266605,0.1355416004767962,0.11343125659438305,-0.07666803300779504,0.00021967028514666284,5.366152414802171,0.0,949
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.03,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,3,0.0300022063030565,D:\graverthermal-sidm\data\P6_final_direct_time_n192_initial\M1_eta0p1_sigma0p1_vstar100\t0p03_n192,0.019270056834285967,0.3672051514411119,0.1374313208606976,0.11519106078406219,-0.07746661442020335,0.0003294484027088289,5.366342817215181,0.0,1423
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.04,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,4,0.0400089083705483,D:\graverthermal-sidm\data\P6_final_direct_time_n192_initial\M1_eta0p1_sigma0p1_vstar100\t0p04_n192,0.019802403476329535,0.36724668165792396,0.13931905798851943,0.11696012981672262,-0.07824788501668865,0.0004393324134649825,5.366534592073345,0.0,1896
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.05,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,5,0.0500025587007344,D:\graverthermal-sidm\data\P6_final_direct_time_n192_initial\M1_eta0p1_sigma0p1_vstar100\t0p05_n192,0.02034281888892347,0.3672882549392044,0.14120875259217672,0.11874024037691111,-0.07901629075169778,0.0005490741515388441,5.366727890251317,0.0,2369
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.1,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,10,0.1000032970348522,D:\graverthermal-sidm\data\P6_final_direct_time_n192_initial\M1_eta0p1_sigma0p1_vstar100\t0p1_n192,0.02315434042846642,0.36749583776612677,0.15064433563410162,0.12771240734334735,-0.08272775494979503,0.0010981538493926206,5.367705971313985,0.0,4724
M1_eta0p1_sigma0p1_vstar20,M1_dark_photon_massive,0.0,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar20\M1_eta0p1_sigma0p1_vstar20,complete,0,0.0,D:\graverthermal-sidm\data\P6_final_direct_time_n192_initial\M1_eta0p1_sigma0p1_vstar20\t0_n192,0.01771670599385588,0.36708047870635074,0.1317643783715552,0.10997924109365392,-0.07497514603066688,0.0,5.3657807860517295,3.7029767699061973e-31,0
M1_eta0p1_sigma0p1_vstar20,M1_dark_photon_massive,0.01,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar20\M1_eta0p1_sigma0p1_vstar20,complete,1,0.0100014834410258,D:\graverthermal-sidm\data\P6_final_direct_time_n192_initial\M1_eta0p1_sigma0p1_vstar20\t0p01_n192,0.018026331157794222,0.36710575856222777,0.13291346272960178,0.11079595939115998,-0.07583262187466981,0.00010982332866191246,5.365862583730349,3.7048513936209236e-31,475
M1_eta0p1_sigma0p1_vstar20,M1_dark_photon_massive,0.02,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar20\M1_eta0p1_sigma0p1_vstar20,complete,2,0.0200037757912596,D:\graverthermal-sidm\data\P6_final_direct_time_n192_initial\M1_eta0p1_sigma0p1_vstar20\t0p02_n192,0.01833887657377397,0.3671310543264699,0.13406327019515407,0.1116527843310919,-0.0766324495555809,0.00021965738751936103,5.365949692672444,3.7067794976758035e-31,950
