scan_point_id,model,requested_source_time_gyr,source_run_dir,status,selected_snapshot_idx,selected_source_time_gyr,direct_output_dir,direct_mass_chi2,direct_mass_ratio,direct_ratio_pull,direct_inner_pull,direct_outer_pull,direct_t_evo_phys_gyr,direct_vmax_kms,direct_max_cooling_code,direct_steps,flag_dissipation
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.0,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,0,0.0,D:\graverthermal-sidm\data\P6_final_direct_time_n192_refined\M1_eta0p1_sigma0p1_vstar100\t0_n192,2.0537183485219077e-16,0.3641816620708522,-1.4151107053838144e-08,-1.1871541140689737e-08,8.027349861386495e-09,0.0,5.343777930616317,0.0,0,True
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.01,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,1,0.0100006176241634,D:\graverthermal-sidm\data\P6_final_direct_time_n192_refined\M1_eta0p1_sigma0p1_vstar100\t0p01_n192,1.1033214790170734e-06,0.36420375065380955,0.001004012346955685,0.0009899467959822643,-0.00035117918523386695,0.00011267287016286815,5.34380946629945,0.0,475,True
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.02,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,2,0.0200050463376075,D:\graverthermal-sidm\data\P6_final_direct_time_n192_refined\M1_eta0p1_sigma0p1_vstar100\t0p02_n192,4.744090209590017e-06,0.36422726495064195,0.002072844021155424,0.0020643815770468098,-0.0006945638299967425,0.00022542738733829116,5.343855863866578,0.0,949,True
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.03,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,3,0.0300022063030565,D:\graverthermal-sidm\data\P6_final_direct_time_n192_refined\M1_eta0p1_sigma0p1_vstar100\t0p03_n192,1.1268362437838457e-05,0.36425171864254113,0.0031843754711183537,0.003193583424660444,-0.0010341118641484241,0.000338135944008039,5.3439116530823965,0.0,1423,True
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.04,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,4,0.0400089083705483,D:\graverthermal-sidm\data\P6_final_direct_time_n192_refined\M1_eta0p1_sigma0p1_vstar100\t0p04_n192,2.0842157244030555e-05,0.3642767101558934,0.004320353350767414,0.004354733863950796,-0.0013705656562860195,0.0004509865450134296,5.343973138575974,0.0,1896,True
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.05,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,5,0.0500025587007344,D:\graverthermal-sidm\data\P6_final_direct_time_n192_refined\M1_eta0p1_sigma0p1_vstar100\t0p05_n192,3.3615762395037126e-05,0.36430213872305023,0.005476197312440847,0.005541580516376555,-0.0017048893734060515,0.0005637232710071896,5.344039243750461,0.0,2368,True
M1_eta0p1_sigma0p1_vstar100,M1_dark_photon_massive,0.1,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar100\M1_eta0p1_sigma0p1_vstar100,complete,10,0.1000032970348522,D:\graverthermal-sidm\data\P6_final_direct_time_n192_refined\M1_eta0p1_sigma0p1_vstar100\t0p1_n192,0.00014957739751513102,0.3644342133125734,0.011479587745313123,0.011758878966555043,-0.0033624638236032273,0.0011282477465469896,5.3444179006821,0.0,4724,True
M1_eta0p1_sigma0p1_vstar20,M1_dark_photon_massive,0.0,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar20\M1_eta0p1_sigma0p1_vstar20,complete,0,0.0,D:\graverthermal-sidm\data\P6_final_direct_time_n192_refined\M1_eta0p1_sigma0p1_vstar20\t0_n192,2.0537183485219077e-16,0.3641816620708522,-1.4151107053838144e-08,-1.1871541140689737e-08,8.027349861386495e-09,0.0,5.343777930616317,3.415399997302264e-31,0,True
M1_eta0p1_sigma0p1_vstar20,M1_dark_photon_massive,0.01,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar20\M1_eta0p1_sigma0p1_vstar20,complete,1,0.0100014834410258,D:\graverthermal-sidm\data\P6_final_direct_time_n192_refined\M1_eta0p1_sigma0p1_vstar20\t0p01_n192,7.948745034880483e-08,0.36417910065924974,-0.00011644195121754662,-0.00024114770550624513,-0.0001460658566465076,0.00011269088125032096,5.343645010798518,3.4144623525501182e-31,475,True
M1_eta0p1_sigma0p1_vstar20,M1_dark_photon_massive,0.02,D:\graverthermal-sidm\data\P6_final_n192_early\runs\M1_eta0p1_sigma0p1_vstar20\M1_eta0p1_sigma0p1_vstar20,complete,2,0.0200037757912596,D:\graverthermal-sidm\data\P6_final_direct_time_n192_refined\M1_eta0p1_sigma0p1_vstar20\t0p02_n192,2.157547372379893e-07,0.36417844999563215,-0.00014601757019919422,-0.00036917291603527874,-0.0002818973134033,0.0002254451945679874,5.343531746586416,3.413752826591838e-31,950,True
