concentration_offset_sigma,profile_mass_chi2,M200_msun,c200_median,c200_candidate,tau_rt_over_rs,M2D_20pc_msun,M2D_90pc_msun,r200_pc,r_s_pc,rho_s_msun_pc3,r_t_pc
0.0,222.1016405924438,109368510.77149025,11.735182239941642,11.735182239941642,1.0000003392313905,114444.1015848417,1238971.3535527952,7192.84756027416,612.9301968394425,0.02328949201066256,612.9304047646054
0.25,217.20810090101028,96413485.0947711,11.851295788967102,12.62600152768006,1.000000080459314,117913.29736493187,1238603.1432426707,6896.827292430732,546.2400172620585,0.027930736709192723,546.2400612121556
0.5,211.93296980139542,87105394.40778582,11.945634298762853,13.55842412916201,1.000000022965979,122480.12995242751,1248886.4789852859,6667.3272806643035,491.74795073152677,0.03336950540040173,491.7479620249998
0.75,206.15006221110917,77292614.84554996,12.057654751688709,14.580178619881792,1.000000263112993,126412.39344476759,1244858.7878325765,6406.921802999403,439.42683900064225,0.04004476671931514,439.42695461955304
1.0,199.9844509493561,69944856.15232435,12.152083233270218,15.65491577739801,1.0000001292103495,131283.6004316361,1248456.82396609,6197.102563661944,395.8566530654283,0.04791293647790968,395.8567042142048
1.25,193.32181641094581,63466713.21404759,12.244669446425643,16.80533079566127,1.0000000630610004,136415.2309672696,1249507.1559301494,5999.551137206862,357.00285880452896,0.057344503355293605,357.0028813174864
1.5,186.12248382894052,57839175.74716972,12.333777830020658,18.03416841787652,1.0,141901.88755374704,1248703.1863778539,5816.710578844497,322.53833079869844,0.06862854603616442,322.53833079869844
1.75,178.3834099383745,52863931.58667317,12.420717341718412,19.348472237434077,1.0000001026717562,147678.9826474084,1244914.5493252913,5644.904208443022,291.74935050022475,0.08214851913448083,291.74938045464296
2.0,170.2139043049029,49253171.6777376,12.489531189215878,20.72746244165574,1.0,154640.01023429152,1249424.6726939888,5513.340616633359,265.99206883874325,0.09802587980003047,265.99206883874325
2.25,161.43587182712852,45100476.32557557,12.575737756903708,22.234812545493956,1.0000000259575539,160792.01002090672,1236173.461154727,5353.820418233333,240.78549829368015,0.1174616014909041,240.7855045438827
2.5,152.16701173098417,42310404.65584806,12.638610430830415,23.806707030450006,1.0000000032586718,168578.4746402938,1235328.056573518,5241.060219586232,220.15057407488763,0.14015875177645787,220.15057479228608
2.75,142.4042799579902,40683036.1866408,12.67738170529912,25.440729877136814,1.0,178297.5310313553,1248760.2637875665,5172.984881026622,203.33476696655242,0.16651155331853965,203.33476696655242
3.0,132.0901677877687,38414020.426576115,12.734325597273488,27.22550536234859,1.000000013602144,187135.31746414676,1242942.311431517,5074.968423847386,186.40493009418273,0.19866636733762552,186.40493262968945
3.25,121.46197460282431,36965337.99227772,12.772612470916243,29.092412421180256,1.0000000689106912,197667.19248956823,1247620.6533454754,5010.352913558595,172.22198149201574,0.23625104066325317,172.2219933599515
3.5,110.43856945863602,34876477.78184095,12.830765010695332,31.135263902583528,1.0000000711603347,206956.51165814328,1230264.173790196,4914.141183555174,157.83200678595858,0.2822352446469851,157.83201801733702
3.75,99.08648310358564,33752757.65435908,12.86362319247574,33.255486840188496,1.0000000732174295,218727.55549131832,1229946.395850999,4860.7861026503415,146.16493590995012,0.33559428376505174,146.164946611771
4.0,87.57032061502628,33378305.669986844,12.874835042597528,35.46024022506617,1.0000000335102333,233037.2141247265,1245106.05543811,4842.744084291525,136.5682819280023,0.39746516388015746,136.56828650443728
4.25,75.91887200492769,32517148.861037932,12.901142820993682,37.855429945822245,1.0000000188149953,246566.03325359625,1242243.9039551895,4800.733263175675,126.81756012403943,0.47241712421505067,126.81756251011123
4.5,64.37584929085652,31560940.98496635,12.931249100666731,40.42411100473447,1.0000001312620894,260112.43678524252,1231382.6467315846,4753.207107255298,117.58346662709793,0.5621911394594784,117.58348206134944
