concentration_offset_sigma,profile_mass_chi2,M200_msun,c200_median,c200_candidate,tau_rt_over_rs,M2D_20pc_msun,M2D_90pc_msun,r200_pc,r_s_pc,rho_s_msun_pc3,r_t_pc
0.0,212.95986675670665,174402394.59194443,11.315227676744568,11.315227676744568,0.5000000218115964,120981.94825331678,1238646.382389286,8403.384551897476,742.6615523758652,0.0212822065088733,371.33079238656666
0.25,207.09321222813685,158601731.04853517,11.399459147350784,12.144628838237916,0.5000000250269779,125732.65378776667,1245069.8787121763,8141.530693022316,670.3811867340348,0.025357061443621483,335.19061014463256
0.5,200.73225872686382,143939117.8580405,11.486144495311475,13.036898232553549,0.5000000593479557,130528.61738987439,1246000.2229209628,7882.482871343539,604.6287031420349,0.030252621243332525,302.31438745449486
0.75,193.8128816873641,131164805.24204117,11.56981108621951,13.990275531130424,0.5000000908289172,135669.10801780978,1244891.9404474911,7642.038061101478,546.239281999616,0.03609755041366266,273.1196906141305
1.0,186.3560833428552,119281674.17972371,11.6559357516383,15.015754006612013,0.5000000914016473,140824.01857651965,1237155.8749657013,7403.913429791326,493.076366763274,0.04312667048373512,246.53822844962914
1.25,178.3197895106971,111888197.15263018,11.714326763054414,16.077456166778266,0.5,147787.29306213403,1245619.731438458,7247.666183120926,450.79682431958224,0.0512532211946197,225.39841215979112
1.5,169.73026972233401,104535998.43541697,11.776671053498493,17.21957960551065,0.5,154763.9271161778,1246304.8679978317,7085.307675357781,411.4680983901793,0.0610058841143177,205.73404919508965
1.75,160.53036669948455,98209255.24630544,11.834228282268349,18.43486419273491,0.5000000000405035,162340.56612172225,1245877.5055305515,6939.383609856536,376.42716199619815,0.0725882119647348,188.2135810133457
2.0,150.74372672897448,92392841.93052973,11.890785203749806,19.733791443295445,0.5000000432724591,170268.188657334,1241045.9364327588,6799.592174534889,344.56592865457947,0.08640703925017552,172.28297923750478
2.25,140.5249689446,88674332.71374565,11.928992402849614,21.091320053042168,0.5000000477749508,179795.05284648124,1246793.3092849404,6707.119843959475,318.0037962105674,0.10251461285160289,159.0019132978994
2.5,129.66929183335859,83884374.9474583,11.980836563120267,22.5676918834476,0.5000001402619201,188718.63682816995,1235368.9711565445,6584.110551898109,291.74939935825967,0.12205716792649084,145.87474060046077
2.75,118.4225279230178,81181624.3141705,12.011518125623178,24.104487436911317,0.500000017954827,199695.38596210486,1238013.9400703323,6512.623954804012,270.1830508468394,0.1447478160778168,135.09153027450964
3.0,106.83157020088372,78565941.75039123,12.042278432843489,25.74593476064973,0.5000000078259695,211136.58478949903,1235868.7592057304,6441.91312490504,250.21088512781074,0.17175621699562213,125.10544452204813
3.25,95.02139388969763,76034569.28595643,12.073117111595067,27.49915908115987,0.5000000191933452,223023.3009228322,1228869.557852922,6371.970944894109,231.71511994560052,0.20391839248572147,115.85756442018855
3.5,83.02765724050295,75474465.6604406,12.080090185933802,29.313668794692976,0.5000000030643987,237881.25302113316,1241326.8240491431,6356.286133737652,216.83693631990585,0.2409821483443369,108.41846882442776
3.75,70.98641719102862,73464096.79892193,12.105586107343871,31.295782958025416,0.5000000071064626,251455.46991474062,1230992.1430007177,6299.341282382367,201.28402893230634,0.2860707889744974,100.6420158965706
4.0,59.22083346810656,72961353.04497235,12.112079650959867,33.35943743179178,0.5000000018935931,267787.0943454265,1236500.0786240513,6284.938753561165,188.40062175543684,0.3383628045929108,94.20031123447254
4.25,47.82983220069011,70980513.60191575,12.138142553819987,35.61658153034421,0.5000000102899702,282325.7959053768,1217418.1788590013,6227.539190582949,174.8494359369464,0.40210771390713296,87.42471976766869
4.5,36.933053851358096,70864123.61358745,12.139698270572666,37.94966028674757,0.5000000155263816,300784.3994088842,1221397.5282268028,6224.133468301156,164.0102551978493,0.47553588145290915,82.00513014541046
4.75,26.983164315728192,70747934.92587589,12.141254046659054,40.43556785591576,0.5000000001517793,320096.04077727866,1222551.0762667104,6220.729914845425,153.8430210010103,0.5626140270867448,76.92151052385533
