scan_point_id,model,requested_source_time_gyr,source_run_dir,status,selected_snapshot_idx,selected_source_time_gyr,direct_output_dir,direct_mass_chi2,direct_mass_ratio,direct_ratio_pull,direct_inner_pull,direct_outer_pull,direct_t_evo_phys_gyr,direct_vmax_kms,direct_max_cooling_code,direct_steps,flag_dissipation
M1_eta0p1_sigma10_vstar20,M1_dark_photon_massive,0.0,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20,complete,0,0.0,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M1_eta0p1_sigma10_vstar20\t0_n192,0.01771670599385588,0.36708047870635074,0.1317643783715552,0.10997924109365392,-0.07497514603066688,0.0,5.3657807860517295,3.7029767699061944e-29,0,True
M1_eta0p1_sigma10_vstar20,M1_dark_photon_massive,0.01,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20,complete,1,0.0100004591314028,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M1_eta0p1_sigma10_vstar20\t0p01_n192,0.017720415966574952,0.36708073132265356,0.13177586093077429,0.11043577788779622,-0.07432600439208535,0.00010980985072591462,5.365840720746441,3.7035782773577703e-29,475,True
M1_eta0p1_sigma10_vstar20,M1_dark_photon_massive,0.02,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20,complete,2,0.0200107881104787,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M1_eta0p1_sigma10_vstar20\t0p02_n192,0.017725680011678666,0.3670809844834759,0.1317873682408816,0.11094200503715825,-0.07360401843658959,0.0002197254089570309,5.365907205719318,3.704244402607186e-29,951,True
M1_eta0p1_sigma10_vstar20,M1_dark_photon_massive,0.03,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20,complete,3,0.0300019276320435,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M1_eta0p1_sigma10_vstar20\t0p03_n192,0.017732648901334695,0.36708123659388947,0.1317988278051337,0.11146597559251711,-0.07285592073773464,0.0003294274494754774,5.365976030317873,3.70493357308178e-29,1425,True
M1_eta0p1_sigma10_vstar20,M1_dark_photon_massive,0.04,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20,complete,4,0.0400131854623304,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M1_eta0p1_sigma10_vstar20\t0p04_n192,0.10293386653628785,0.35725322221491446,-0.3149290985119124,-0.26674831185097964,0.1782672282303743,0.00047917538201241804,5.291924996585559,2.802082795208905e-29,1900,True
M1_eta0p1_sigma10_vstar20,M1_dark_photon_massive,0.05,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20,complete,5,0.0500157925997284,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M1_eta0p1_sigma10_vstar20\t0p05_n192,0.10292680552395808,0.35725348909443366,-0.3149169676246758,-0.26653626121769636,0.17856434968954477,0.0005989579914355352,5.291952715458856,2.802315690145669e-29,2375,True
M1_eta0p1_sigma10_vstar20,M1_dark_photon_massive,0.1,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20,complete,10,0.1000280502431163,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M1_eta0p1_sigma10_vstar20\t0p1_n192,0.10289965506654965,0.3572548236355608,-0.3148563066643502,-0.26515214666098613,0.18053806852744533,0.0011978341188673945,5.292134213531978,2.803827292019692e-29,4750,True
M1_eta0p1_sigma1_vstar20,M1_dark_photon_massive,0.0,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20,complete,0,0.0,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M1_eta0p1_sigma1_vstar20\t0_n192,0.01771670599385588,0.36708047870635074,0.1317643783715552,0.10997924109365392,-0.07497514603066688,0.0,5.3657807860517295,3.702976769906193e-30,0,True
M1_eta0p1_sigma1_vstar20,M1_dark_photon_massive,0.01,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20,complete,1,0.0100222306337402,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M1_eta0p1_sigma1_vstar20\t0p01_n192,0.017749977370137216,0.3670830101259687,0.13187944289964515,0.10920344421564646,-0.07631896973608468,0.00011005253764848615,5.365675898584851,3.702049806276668e-30,476,True
M1_eta0p1_sigma1_vstar20,M1_dark_photon_massive,0.02,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20,complete,2,0.020014960712427,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M1_eta0p1_sigma1_vstar20\t0p02_n192,0.017787948404898224,0.36708553619862455,0.131994264384001,0.10843178426524225,-0.07765627190352489,0.00021978595029943426,5.365571560656166,3.70112806383358e-30,951,True
M1_eta0p1_sigma1_vstar20,M1_dark_photon_massive,0.03,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20,complete,3,0.0300048015757425,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M1_eta0p1_sigma1_vstar20\t0p03_n192,0.017830440926018896,0.3670880569272667,0.13210884295864428,0.1076707810529624,-0.07897748940972946,0.00032949235641601565,5.365468631973626,3.70022001590883e-30,1425,True
M1_eta0p1_sigma1_vstar20,M1_dark_photon_massive,0.04,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20,complete,4,0.0400046530387853,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M1_eta0p1_sigma1_vstar20\t0p04_n192,0.01787766785395353,0.36709058294695707,0.13222366203547897,0.10690891555562017,-0.08030038373927491,0.00043931345589886606,5.365365582811347,3.699311032900971e-30,1900,True
M1_eta0p1_sigma1_vstar20,M1_dark_photon_massive,0.05,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20,complete,5,0.0500074395279112,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M1_eta0p1_sigma1_vstar20\t0p05_n192,0.017929683034731587,0.36709310893658953,0.13233847974604546,0.10614224248030778,-0.08163030929736291,0.0005491716125914672,5.365261898388414,3.6983958165553656e-30,2375,True
M1_eta0p1_sigma1_vstar20,M1_dark_photon_massive,0.1,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20,complete,10,0.1000091470681116,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M1_eta0p1_sigma1_vstar20\t0p1_n192,0.018250717502086143,0.3671057280076602,0.13291207388562257,0.10248606348003626,-0.08801888601006104,0.0010983951620755958,5.364766832988825,3.6940498720983295e-30,4748,True
M2_eta0p1_sigma10_vstar20,M2_scalar_phi_massive,0.0,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20,complete,0,0.0,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M2_eta0p1_sigma10_vstar20\t0_n192,0.01771670599385588,0.36708047870635074,0.1317643783715552,0.10997924109365392,-0.07497514603066688,0.0,5.3657807860517295,2.885290899951001e-29,0,True
M2_eta0p1_sigma10_vstar20,M2_scalar_phi_massive,0.01,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20,complete,1,0.0100004591314028,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M2_eta0p1_sigma10_vstar20\t0p01_n192,0.017720415966574952,0.36708073132265356,0.13177586093077429,0.11043577788779622,-0.07432600439208535,0.00010980985072591462,5.365840720746441,2.8857310054682e-29,475,True
M2_eta0p1_sigma10_vstar20,M2_scalar_phi_massive,0.02,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20,complete,2,0.0200107881104787,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M2_eta0p1_sigma10_vstar20\t0p02_n192,0.017725680011678666,0.3670809844834759,0.1317873682408816,0.11094200503715825,-0.07360401843658959,0.0002197254089570309,5.365907205719318,2.886218376576058e-29,951,True
M2_eta0p1_sigma10_vstar20,M2_scalar_phi_massive,0.03,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20,complete,3,0.0300019276320435,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M2_eta0p1_sigma10_vstar20\t0p03_n192,0.017732648901334695,0.36708123659388947,0.1317988278051337,0.11146597559251711,-0.07285592073773464,0.0003294274494754774,5.365976030317873,2.8867226037323613e-29,1425,True
M2_eta0p1_sigma10_vstar20,M2_scalar_phi_massive,0.04,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20,complete,4,0.0400131854623304,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M2_eta0p1_sigma10_vstar20\t0p04_n192,0.10293386653628785,0.35725322221491446,-0.3149290985119124,-0.26674831185097964,0.1782672282303743,0.00047917538201241804,5.291924996585559,2.203032148532797e-29,1900,True
M2_eta0p1_sigma10_vstar20,M2_scalar_phi_massive,0.05,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20,complete,5,0.0500157925997284,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M2_eta0p1_sigma10_vstar20\t0p05_n192,0.10292680552395808,0.35725348909443366,-0.3149169676246758,-0.26653626121769636,0.17856434968954477,0.0005989579914355352,5.291952715458856,2.2032103855273543e-29,2375,True
M2_eta0p1_sigma10_vstar20,M2_scalar_phi_massive,0.1,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20,complete,10,0.1000280502431163,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M2_eta0p1_sigma10_vstar20\t0p1_n192,0.10289965506654965,0.3572548236355608,-0.3148563066643502,-0.26515214666098613,0.18053806852744533,0.0011978341188673945,5.292134213531978,2.2043670238864704e-29,4750,True
M2_eta0p1_sigma1_vstar20,M2_scalar_phi_massive,0.0,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma1_vstar20\M2_eta0p1_sigma1_vstar20,complete,0,0.0,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M2_eta0p1_sigma1_vstar20\t0_n192,0.01771670599385588,0.36708047870635074,0.1317643783715552,0.10997924109365392,-0.07497514603066688,0.0,5.3657807860517295,2.885290899951001e-30,0,True
M2_eta0p1_sigma1_vstar20,M2_scalar_phi_massive,0.01,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma1_vstar20\M2_eta0p1_sigma1_vstar20,complete,1,0.0100222306337402,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M2_eta0p1_sigma1_vstar20\t0p01_n192,0.017749977370137216,0.3670830101259687,0.13187944289964515,0.10920344421564646,-0.07631896973608468,0.00011005253764848615,5.365675898584851,2.8846141247637615e-30,476,True
M2_eta0p1_sigma1_vstar20,M2_scalar_phi_massive,0.02,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma1_vstar20\M2_eta0p1_sigma1_vstar20,complete,2,0.020014960712427,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M2_eta0p1_sigma1_vstar20\t0p02_n192,0.017787948404898224,0.36708553619862455,0.131994264384001,0.10843178426524225,-0.07765627190352489,0.00021978595029943426,5.365571560656166,2.8839411658834283e-30,951,True
M2_eta0p1_sigma1_vstar20,M2_scalar_phi_massive,0.03,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma1_vstar20\M2_eta0p1_sigma1_vstar20,complete,3,0.0300048015757425,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M2_eta0p1_sigma1_vstar20\t0p03_n192,0.017830440926018896,0.3670880569272667,0.13210884295864428,0.1076707810529624,-0.07897748940972946,0.00032949235641601565,5.365468631973626,2.8832782212364308e-30,1425,True
M2_eta0p1_sigma1_vstar20,M2_scalar_phi_massive,0.04,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma1_vstar20\M2_eta0p1_sigma1_vstar20,complete,4,0.0400046530387853,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M2_eta0p1_sigma1_vstar20\t0p04_n192,0.01787766785395353,0.36709058294695707,0.13222366203547897,0.10690891555562017,-0.08030038373927491,0.00043931345589886606,5.365365582811347,2.882614595136391e-30,1900,True
M2_eta0p1_sigma1_vstar20,M2_scalar_phi_massive,0.05,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma1_vstar20\M2_eta0p1_sigma1_vstar20,complete,5,0.0500074395279112,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192\M2_eta0p1_sigma1_vstar20\t0p05_n192,0.017929683034731587,0.36709310893658953,0.13233847974604546,0.10614224248030778,-0.08163030929736291,0.0005491716125914672,5.365261898388414,2.8819464094519706e-30,2375,True
