scan_point_id,model,requested_source_time_gyr,source_run_dir,status,selected_snapshot_idx,selected_source_time_gyr,direct_output_dir,direct_mass_chi2,direct_mass_ratio,direct_ratio_pull,direct_inner_pull,direct_outer_pull,direct_t_evo_phys_gyr,direct_vmax_kms,direct_max_cooling_code,direct_steps,flag_dissipation
M1_eta0p1_sigma10_vstar20,M1_dark_photon_massive,0.0,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20,complete,0,0.0,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M1_eta0p1_sigma10_vstar20\t0_n192,2.0537183485219077e-16,0.3641816620708522,-1.4151107053838144e-08,-1.1871541140689737e-08,8.027349861386495e-09,0.0,5.343777930616317,3.4153999973022616e-29,0,True
M1_eta0p1_sigma10_vstar20,M1_dark_photon_massive,0.01,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20,complete,1,0.0100004591314028,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M1_eta0p1_sigma10_vstar20\t0p01_n192,0.0005913588683599346,0.36365370465350305,-0.023998078576067193,-0.019902278287308513,0.013973481575271878,0.0001131732215349637,5.339821095458189,3.366151246358705e-29,475,True
M1_eta0p1_sigma10_vstar20,M1_dark_photon_massive,0.02,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20,complete,2,0.0200107881104787,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M1_eta0p1_sigma10_vstar20\t0p02_n192,0.0023898318843080116,0.36312086208037914,-0.04821819553624515,-0.039947810672855535,0.028178082027591957,0.00022752089562890564,5.335833654962585,3.3168843623843556e-29,951,True
M1_eta0p1_sigma10_vstar20,M1_dark_photon_massive,0.03,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20,complete,3,0.0300019276320435,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M1_eta0p1_sigma10_vstar20\t0p03_n192,0.005410923745381938,0.3625862585840629,-0.07251835445971028,-0.060070560541852114,0.042455288263885546,0.00034274066660843757,5.331819187646965,3.267605342714856e-29,1425,True
M1_eta0p1_sigma10_vstar20,M1_dark_photon_massive,0.04,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20,complete,4,0.0400131854623304,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M1_eta0p1_sigma10_vstar20\t0p04_n192,0.009679544556866941,0.36204884339327686,-0.09694631767725752,-0.08033970996883831,0.05678974871391741,0.00045930587868655084,5.327769958251409,3.2182818189569964e-29,1900,True
M1_eta0p1_sigma10_vstar20,M1_dark_photon_massive,0.05,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20,complete,5,0.0500157925997284,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M1_eta0p1_sigma10_vstar20\t0p05_n192,0.015222782017086451,0.36150820194728356,-0.12152092885877143,-0.10081486240787144,0.07112767066879389,0.0005769016571500643,5.323700151589413,3.169111254656933e-29,2375,True
M1_eta0p1_sigma10_vstar20,M1_dark_photon_massive,0.1,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma10_vstar20\M1_eta0p1_sigma10_vstar20,complete,10,0.1000280502431163,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M1_eta0p1_sigma10_vstar20\t0p1_n192,0.06359656599446278,0.3587293640929684,-0.2478317404185511,-0.20784140729727335,0.14282337136180379,0.0011823657530827046,5.303064046636336,2.926170577401131e-29,4750,True
M1_eta0p1_sigma1_vstar20,M1_dark_photon_massive,0.0,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20,complete,0,0.0,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M1_eta0p1_sigma1_vstar20\t0_n192,2.0537183485219077e-16,0.3641816620708522,-1.4151107053838144e-08,-1.1871541140689737e-08,8.027349861386495e-09,0.0,5.343777930616317,3.4153999973022606e-30,0,True
M1_eta0p1_sigma1_vstar20,M1_dark_photon_massive,0.01,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20,complete,1,0.0100222306337402,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M1_eta0p1_sigma1_vstar20\t0p01_n192,4.736718995111386e-05,0.36403697168042254,-0.00657685007972687,-0.006487774872254314,0.0022969473563970474,0.00011304432179967377,5.342547426049042,3.400562502064273e-30,476,True
M1_eta0p1_sigma1_vstar20,M1_dark_photon_massive,0.02,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20,complete,2,0.020014960712427,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M1_eta0p1_sigma1_vstar20\t0p02_n192,0.0001901762225634303,0.36389182513849866,-0.01317442016717594,-0.01300350825945359,0.004591840100629876,0.0002260545197786628,5.3413124150260245,3.385707643634224e-30,951,True
M1_eta0p1_sigma1_vstar20,M1_dark_photon_massive,0.03,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20,complete,3,0.0300048015757425,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M1_eta0p1_sigma1_vstar20\t0p03_n192,0.00042998938118526687,0.3637459321079423,-0.019805921556100635,-0.01955617739018496,0.006895310512869261,0.00033933309270964187,5.340070941414599,3.3708106535246125e-30,1425,True
M1_eta0p1_sigma1_vstar20,M1_dark_photon_massive,0.04,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20,complete,4,0.0400046530387853,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M1_eta0p1_sigma1_vstar20\t0p04_n192,0.0007689863047875198,0.3635991016649699,-0.02648003260030169,-0.02615852643427206,0.009204227266588415,0.00045302974569509885,5.3388207627454785,3.3558470196809655e-30,1900,True
M1_eta0p1_sigma1_vstar20,M1_dark_photon_massive,0.05,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20,complete,5,0.0500074395279112,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M1_eta0p1_sigma1_vstar20\t0p05_n192,0.0012085627150265946,0.36345155484841735,-0.03318670607996288,-0.03280328255867408,0.011511184491718618,0.0005670671544398961,5.3375633750970595,3.34083626404858e-30,2375,True
M1_eta0p1_sigma1_vstar20,M1_dark_photon_massive,0.1,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M1_eta0p1_sigma1_vstar20\M1_eta0p1_sigma1_vstar20,complete,10,0.1000091470681116,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M1_eta0p1_sigma1_vstar20\t0p1_n192,0.004914204624793358,0.36270858590573984,-0.06695802165621298,-0.0660604797815017,0.0234567183517039,0.001141820216146033,5.3312449034917355,3.265763331975831e-30,4748,True
M2_eta0p1_sigma10_vstar20,M2_scalar_phi_massive,0.0,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20,complete,0,0.0,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M2_eta0p1_sigma10_vstar20\t0_n192,2.0537183485219077e-16,0.3641816620708522,-1.4151107053838144e-08,-1.1871541140689737e-08,8.027349861386495e-09,0.0,5.343777930616317,2.669720578913727e-29,0,True
M2_eta0p1_sigma10_vstar20,M2_scalar_phi_massive,0.01,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20,complete,1,0.0100004591314028,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M2_eta0p1_sigma10_vstar20\t0p01_n192,0.0005913588683599346,0.36365370465350305,-0.023998078576067193,-0.019902278287308513,0.013973481575271878,0.0001131732215349637,5.339821095458189,2.6318778074418297e-29,475,True
M2_eta0p1_sigma10_vstar20,M2_scalar_phi_massive,0.02,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20,complete,2,0.0200107881104787,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M2_eta0p1_sigma10_vstar20\t0p02_n192,0.0023898318843080116,0.36312086208037914,-0.04821819553624515,-0.039947810672855535,0.028178082027591957,0.00022752089562890564,5.335833654962585,2.594019307551288e-29,951,True
M2_eta0p1_sigma10_vstar20,M2_scalar_phi_massive,0.03,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20,complete,3,0.0300019276320435,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M2_eta0p1_sigma10_vstar20\t0p03_n192,0.005410923745381938,0.3625862585840629,-0.07251835445971028,-0.060070560541852114,0.042455288263885546,0.00034274066660843757,5.331819187646965,2.5561490333234283e-29,1425,True
M2_eta0p1_sigma10_vstar20,M2_scalar_phi_massive,0.04,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20,complete,4,0.0400131854623304,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M2_eta0p1_sigma10_vstar20\t0p04_n192,0.009679544556866941,0.36204884339327686,-0.09694631767725752,-0.08033970996883831,0.05678974871391741,0.00045930587868655084,5.327769958251409,2.5182428185705888e-29,1900,True
M2_eta0p1_sigma10_vstar20,M2_scalar_phi_massive,0.05,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20,complete,5,0.0500157925997284,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M2_eta0p1_sigma10_vstar20\t0p05_n192,0.015222782017086451,0.36150820194728356,-0.12152092885877143,-0.10081486240787144,0.07112767066879389,0.0005769016571500643,5.323700151589413,2.4804526507367398e-29,2375,True
M2_eta0p1_sigma10_vstar20,M2_scalar_phi_massive,0.1,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_n192\runs\M2_eta0p1_sigma10_vstar20\M2_eta0p1_sigma10_vstar20,complete,10,0.1000280502431163,D:\graverthermal-sidm\data\P6_high_sigma_vstar20_direct_time_n192_refined\M2_eta0p1_sigma10_vstar20\t0p1_n192,0.06359656599446278,0.3587293640929684,-0.2478317404185511,-0.20784140729727335,0.14282337136180379,0.0011823657530827046,5.303064046636336,2.2971522215931124e-29,4750,True
