scan_point_id,model,requested_source_time_gyr,source_run_dir,status,selected_snapshot_idx,selected_source_time_gyr,direct_output_dir,direct_mass_chi2,direct_mass_ratio,direct_ratio_pull,direct_inner_pull,direct_outer_pull,direct_t_evo_phys_gyr,direct_vmax_kms,direct_max_cooling_code,direct_steps,flag_dissipation
M1_eta0p1_sigma0p1_vstar5,M1_dark_photon_massive,0.0,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar5\M1_eta0p1_sigma0p1_vstar5,complete,0,0.0,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma0p1_vstar5\t0_n192,0.01771670599385588,0.36708047870635074,0.1317643783715552,0.10997924109365392,-0.07497514603066688,0.0,5.3657807860517295,3.333765517528768e-30,0,True
M1_eta0p1_sigma0p1_vstar5,M1_dark_photon_massive,0.01,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar5\M1_eta0p1_sigma0p1_vstar5,complete,1,0.0100086869154323,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma0p1_vstar5\t0p01_n192,0.01796335266345451,0.36710062193970505,0.13267997988766012,0.1104890839173403,-0.07586511054866685,0.00010990258854818272,5.365827262214834,3.3336431007130994e-30,476,True
M1_eta0p1_sigma0p1_vstar5,M1_dark_photon_massive,0.02,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar5\M1_eta0p1_sigma0p1_vstar5,complete,2,0.0200011025931188,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma0p1_vstar5\t0p02_n192,0.018211031441573763,0.3671206901719256,0.13359217226132195,0.11103903850974582,-0.07669004738820383,0.0002196286532480273,5.365879129853077,3.333532848605549e-30,950,True
M1_eta0p1_sigma0p1_vstar5,M1_dark_photon_massive,0.03,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar5\M1_eta0p1_sigma0p1_vstar5,complete,3,0.0300170713545492,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma0p1_vstar5\t0p03_n192,0.01846117720859181,0.36714081037574325,0.13450672698030566,0.11162314119749048,-0.0774690361228079,0.0003296152388079625,5.36593547196964,3.33343144303383e-30,1425,True
M1_eta0p1_sigma0p1_vstar5,M1_dark_photon_massive,0.04,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar5\M1_eta0p1_sigma0p1_vstar5,complete,4,0.0400049843379402,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma0p1_vstar5\t0p04_n192,0.018712150762230484,0.3671608553970411,0.1354178643120248,0.11222688381441791,-0.07821302520383436,0.0004392954677201113,5.365994506348626,3.3333365241397035e-30,1898,True
M1_eta0p1_sigma0p1_vstar5,M1_dark_photon_massive,0.05,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar5\M1_eta0p1_sigma0p1_vstar5,complete,5,0.0500234170098251,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma0p1_vstar5\t0p05_n192,0.018966032128894354,0.3671809946951986,0.13633328695554883,0.11285200785374867,-0.0789332404774554,0.0005493124509470009,5.366056288882895,3.3332463559129166e-30,2373,True
M1_eta0p1_sigma0p1_vstar5,M1_dark_photon_massive,0.1,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma0p1_vstar5\M1_eta0p1_sigma0p1_vstar5,complete,10,0.1000062196275312,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma0p1_vstar5\t0p1_n192,0.020257157251812315,0.36728140646820906,0.14089745845602408,0.11614180702004316,-0.08226930116350428,0.0010982179250633624,5.36638753437421,3.332845567966583e-30,4738,True
M1_eta0p1_sigma10_vstar5,M1_dark_photon_massive,0.0,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma10_vstar5\M1_eta0p1_sigma10_vstar5,complete,0,0.0,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma10_vstar5\t0_n192,0.01771670599385588,0.36708047870635074,0.1317643783715552,0.10997924109365392,-0.07497514603066688,0.0,5.3657807860517295,3.3337655175287657e-28,0,True
M1_eta0p1_sigma10_vstar5,M1_dark_photon_massive,0.01,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma10_vstar5\M1_eta0p1_sigma10_vstar5,complete,1,0.0100168778788053,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma10_vstar5\t0p01_n192,0.01771938391215479,0.36708068004760275,0.1317735302466463,0.11025279431897936,-0.07459024907460508,0.00010999062430209905,5.365816646201089,3.333838724833039e-28,476,True
M1_eta0p1_sigma10_vstar5,M1_dark_photon_massive,0.02,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma10_vstar5\M1_eta0p1_sigma10_vstar5,complete,2,0.0200132625385701,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma10_vstar5\t0p02_n192,0.017722662032594205,0.3670808809725033,0.1317826631966713,0.11057188231218051,-0.07413852490126513,0.00021975455050902905,5.365858510204765,3.333924563345197e-28,951,True
M1_eta0p1_sigma10_vstar5,M1_dark_photon_massive,0.03,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma10_vstar5\M1_eta0p1_sigma10_vstar5,complete,3,0.0300054810329554,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma10_vstar5\t0p03_n192,0.01772663353047388,0.36708108148144253,0.13179177723936358,0.11090628307287503,-0.07366430550431594,0.00032947093666043785,5.36590239324719,3.3340146535687845e-28,1425,True
M1_eta0p1_sigma10_vstar5,M1_dark_photon_massive,0.04,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma10_vstar5\M1_eta0p1_sigma10_vstar5,complete,4,0.0400122264564549,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma10_vstar5\t0p04_n192,0.10293924617304175,0.35725300375140334,-0.3149390286715086,-0.2673317253508056,0.1774062986311455,0.0004791707647178793,5.291848002500051,2.9568772844125593e-28,1900,True
M1_eta0p1_sigma10_vstar5,M1_dark_photon_massive,0.05,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma10_vstar5\M1_eta0p1_sigma10_vstar5,complete,5,0.0500067591205413,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma10_vstar5\t0p05_n192,0.1029329139760677,0.3572532160031096,-0.31492938086667827,-0.26727860930317826,0.17746847321433373,0.0005988607363286662,5.291854740085127,2.9568880023605647e-28,2375,True
M1_eta0p1_sigma10_vstar5,M1_dark_photon_massive,0.1,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma10_vstar5\M1_eta0p1_sigma10_vstar5,complete,10,0.1000127216827793,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma10_vstar5\t0p1_n192,0.10290211090412149,0.35725427687140776,-0.3148811595803986,-0.26677118706256925,0.17814388751048738,0.0011976982803485227,5.291920469686598,2.9570023142562676e-28,4749,True
M1_eta0p1_sigma1_vstar5,M1_dark_photon_massive,0.0,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma1_vstar5\M1_eta0p1_sigma1_vstar5,complete,0,0.0,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma1_vstar5\t0_n192,0.01771670599385588,0.36708047870635074,0.1317643783715552,0.10997924109365392,-0.07497514603066688,0.0,5.3657807860517295,3.333765517528771e-29,0,True
M1_eta0p1_sigma1_vstar5,M1_dark_photon_massive,0.01,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma1_vstar5\M1_eta0p1_sigma1_vstar5,complete,1,0.010018874038985,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma1_vstar5\t0p01_n192,0.017743030127345842,0.3670824920777431,0.13185589525302718,0.10930646224601549,-0.07612573440438017,0.00011001533310313071,5.365690002978031,3.3335525800414085e-29,476,True
M1_eta0p1_sigma1_vstar5,M1_dark_photon_massive,0.02,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma1_vstar5\M1_eta0p1_sigma1_vstar5,complete,2,0.0200138089915323,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma1_vstar5\t0p02_n192,0.017772932640056287,0.36708450118438835,0.13194721828235526,0.10862513136951298,-0.07728850803976187,0.00021977198833756712,5.365598095554996,3.3333373331578373e-29,951,True
M1_eta0p1_sigma1_vstar5,M1_dark_photon_massive,0.03,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma1_vstar5\M1_eta0p1_sigma1_vstar5,complete,3,0.030031688460114,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma1_vstar5\t0p03_n192,0.017806549704308693,0.36708651025437283,0.13203853964528653,0.10793788417120785,-0.0784599443343647,0.0003297848383635753,5.365505406900802,3.333120452329784e-29,1426,True
M1_eta0p1_sigma1_vstar5,M1_dark_photon_massive,0.04,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma1_vstar5\M1_eta0p1_sigma1_vstar5,complete,4,0.040001904584675,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma1_vstar5\t0p04_n192,0.01784387904934557,0.36708851505656565,0.13212966701768708,0.10724643098996742,-0.0796371903651788,0.00043927854927836116,5.365412166861287,3.3329024673035047e-29,1900,True
M1_eta0p1_sigma1_vstar5,M1_dark_photon_massive,0.05,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma1_vstar5\M1_eta0p1_sigma1_vstar5,complete,5,0.0500141053565097,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma1_vstar5\t0p05_n192,0.017885452667482357,0.3670905240429222,0.13222098457934842,0.10653569982347766,-0.08084304132455816,0.0005492378154386697,5.365316379290405,3.332679088806196e-29,2375,True
M1_eta0p1_sigma1_vstar5,M1_dark_photon_massive,0.1,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M1_eta0p1_sigma1_vstar5\M1_eta0p1_sigma1_vstar5,complete,10,0.1000026222122935,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M1_eta0p1_sigma1_vstar5\t0p1_n192,0.01815466229278486,0.36710055985072243,0.1326771576611773,0.1029264280119484,-0.08695293387509166,0.0010983048598925743,5.364830097226634,3.331546991698901e-29,4748,True
M2_eta0p1_sigma0p1_vstar5,M2_scalar_phi_massive,0.0,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M2_eta0p1_sigma0p1_vstar5\M2_eta0p1_sigma0p1_vstar5,complete,0,0.0,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M2_eta0p1_sigma0p1_vstar5\t0_n192,0.01771670599385588,0.36708047870635074,0.1317643783715552,0.10997924109365392,-0.07497514603066688,0.0,5.3657807860517295,2.4171855107836864e-30,0,True
M2_eta0p1_sigma0p1_vstar5,M2_scalar_phi_massive,0.01,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M2_eta0p1_sigma0p1_vstar5\M2_eta0p1_sigma0p1_vstar5,complete,1,0.0100086869154323,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M2_eta0p1_sigma0p1_vstar5\t0p01_n192,0.01796335266345451,0.36710062193970505,0.13267997988766012,0.1104890839173403,-0.07586511054866685,0.00010990258854818272,5.365827262214834,2.4170957611628997e-30,476,True
M2_eta0p1_sigma0p1_vstar5,M2_scalar_phi_massive,0.02,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M2_eta0p1_sigma0p1_vstar5\M2_eta0p1_sigma0p1_vstar5,complete,2,0.0200011025931188,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M2_eta0p1_sigma0p1_vstar5\t0p02_n192,0.018211031441573763,0.3671206901719256,0.13359217226132195,0.11103903850974582,-0.07669004738820383,0.0002196286532480273,5.365879129853077,2.4170149300821412e-30,950,True
M2_eta0p1_sigma0p1_vstar5,M2_scalar_phi_massive,0.03,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M2_eta0p1_sigma0p1_vstar5\M2_eta0p1_sigma0p1_vstar5,complete,3,0.0300170713545492,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M2_eta0p1_sigma0p1_vstar5\t0p03_n192,0.01846117720859181,0.36714081037574325,0.13450672698030566,0.11162314119749048,-0.0774690361228079,0.0003296152388079625,5.36593547196964,2.416940584828003e-30,1425,True
M2_eta0p1_sigma0p1_vstar5,M2_scalar_phi_massive,0.04,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M2_eta0p1_sigma0p1_vstar5\M2_eta0p1_sigma0p1_vstar5,complete,4,0.0400049843379402,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M2_eta0p1_sigma0p1_vstar5\t0p04_n192,0.018712150762230484,0.3671608553970411,0.1354178643120248,0.11222688381441791,-0.07821302520383436,0.0004392954677201113,5.365994506348626,2.4168709952740334e-30,1898,True
M2_eta0p1_sigma0p1_vstar5,M2_scalar_phi_massive,0.05,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M2_eta0p1_sigma0p1_vstar5\M2_eta0p1_sigma0p1_vstar5,complete,5,0.0500234170098251,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M2_eta0p1_sigma0p1_vstar5\t0p05_n192,0.018966032128894354,0.3671809946951986,0.13633328695554883,0.11285200785374867,-0.0789332404774554,0.0005493124509470009,5.366056288882895,2.4168048886672176e-30,2373,True
M2_eta0p1_sigma0p1_vstar5,M2_scalar_phi_massive,0.1,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M2_eta0p1_sigma0p1_vstar5\M2_eta0p1_sigma0p1_vstar5,complete,10,0.1000062196275312,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M2_eta0p1_sigma0p1_vstar5\t0p1_n192,0.020257157251812315,0.36728140646820906,0.14089745845602408,0.11614180702004316,-0.08226930116350428,0.0010982179250633624,5.36638753437421,2.416511052084045e-30,4738,True
M2_eta0p1_sigma10_vstar5,M2_scalar_phi_massive,0.0,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M2_eta0p1_sigma10_vstar5\M2_eta0p1_sigma10_vstar5,complete,0,0.0,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M2_eta0p1_sigma10_vstar5\t0_n192,0.01771670599385588,0.36708047870635074,0.1317643783715552,0.10997924109365392,-0.07497514603066688,0.0,5.3657807860517295,2.417185510783685e-28,0,True
M2_eta0p1_sigma10_vstar5,M2_scalar_phi_massive,0.01,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M2_eta0p1_sigma10_vstar5\M2_eta0p1_sigma10_vstar5,complete,1,0.0100168778788053,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M2_eta0p1_sigma10_vstar5\t0p01_n192,0.01771938391215479,0.36708068004760275,0.1317735302466463,0.11025279431897936,-0.07459024907460508,0.00010999062430209905,5.365816646201089,2.4172391825648362e-28,476,True
M2_eta0p1_sigma10_vstar5,M2_scalar_phi_massive,0.02,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M2_eta0p1_sigma10_vstar5\M2_eta0p1_sigma10_vstar5,complete,2,0.0200132625385701,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M2_eta0p1_sigma10_vstar5\t0p02_n192,0.017722662032594205,0.3670808809725033,0.1317826631966713,0.11057188231218051,-0.07413852490126513,0.00021975455050902905,5.365858510204765,2.41730211489526e-28,951,True
M2_eta0p1_sigma10_vstar5,M2_scalar_phi_massive,0.03,D:\graverthermal-sidm\data\P6_low_threshold_n192\runs\M2_eta0p1_sigma10_vstar5\M2_eta0p1_sigma10_vstar5,complete,3,0.0300054810329554,D:\graverthermal-sidm\data\P6_low_threshold_direct_time_n192\M2_eta0p1_sigma10_vstar5\t0p03_n192,0.01772663353047388,0.36708108148144253,0.13179177723936358,0.11090628307287503,-0.07366430550431594,0.00032947093666043785,5.36590239324719,2.417368164365974e-28,1425,True
