baseline_code,antenna_1,antenna_2,baseline,valid_visibility_count,mean_pipeline_weight,rms_pipeline_sigma_jy,median_adjacent_sigma_jy,noise_bin_count
258,1,2,EF-JB,623196,0.037663942175788334,5.580733157835868,0.009468749177341003,28
259,1,3,EF-WB,566637,0.051496899925201796,4.435689512754542,0.007649010139068475,24
260,1,4,EF-MC,606099,0.002316999661123937,22.842218303855642,0.03686222567806237,28
261,1,5,EF-TR,511090,0.0054794084184957535,13.793533483610663,0.02258033221804721,27
262,1,6,EF-ON,648772,0.004328143430667311,15.833401125099511,0.02609607339790288,28
263,1,7,EF-SH,139184,0.0025315400232551804,19.976866960123047,0.03415578901768847,12
264,1,8,EF-UR,232348,0.005885512593737819,13.223161165403141,0.022354795514324732,22
265,1,9,EF-SV,484547,0.005338476016261474,13.71255971638658,0.023037221807486748,21
266,1,10,EF-ZC,460878,0.0064414853579000475,12.496321645926056,0.020710798793847962,26
267,1,11,EF-BD,255417,0.005923875201955894,13.015008744719086,0.02140646122558988,19
268,1,12,EF-SC,108543,0.005805195869087387,13.144838263687632,0.022195858357396347,9
269,1,13,EF-HN,132979,0.0062381487767979955,12.681703459466778,0.02149569344416622,10
272,1,16,EF-LA,135336,0.007802920607304826,11.467032908388441,0.019359935392683308,10
273,1,17,EF-PT,129495,0.006961229751121377,12.090954038292422,0.02036096961999081,10
275,1,19,EF-OV,23644,0.005363598746056787,13.71175005160488,0.023175834273361638,5
276,1,20,EF-BR,19904,0.007052089194090583,11.937720336995534,0.02015867824306987,3
278,1,22,EF-GB,134892,0.18873808095601993,2.304880070227158,0.0038884677839416773,10
515,2,3,JB-WB,550151,0.012815979843534013,9.691155980276843,0.01616519396845706,24
516,2,4,JB-MC,594439,0.000584274312225598,51.584774652461284,0.08243846542954394,28
517,2,5,JB-TR,491343,0.0013271915401300842,29.65339606279918,0.04756653164627516,27
518,2,6,JB-ON,611137,0.00107768722919538,34.44662226298412,0.056191558044153614,28
519,2,7,JB-SH,132781,0.0006496039238869769,43.190650669377646,0.07217989833408443,13
520,2,8,JB-UR,223805,0.001467789948585629,28.507821310663658,0.046684359600134714,22
521,2,9,JB-SV,467215,0.0013300155800684823,29.64633104661869,0.048076716877196016,21
522,2,10,JB-ZC,444253,0.001582006991378254,27.338860403705525,0.04407755582753833,26
523,2,11,JB-BD,245611,0.0014822272984053213,28.30242165061488,0.044902352958208186,19
524,2,12,JB-SC,107317,0.001395587670303699,28.615064981826514,0.04622610335800445,10
525,2,13,JB-HN,131802,0.0015203624025171229,27.440761926997947,0.04453422539221852,10
528,2,16,JB-LA,134998,0.001880396307555862,24.802797768059843,0.04061637291762292,10
529,2,17,JB-PT,129009,0.0017065676924363133,26.201934981735363,0.04317623223228299,10
531,2,19,JB-OV,24817,0.0013824926581119637,28.834646236653292,0.04738044071739461,5
532,2,20,JB-BR,19183,0.001849355620803428,24.684131135677024,0.04082963827560349,3
534,2,22,JB-GB,133741,0.045302917866088234,5.022420373496463,0.008175450559409951,10
772,3,4,WB-MC,562965,0.0008140050268263284,38.125054273370644,0.06416428320909347,24
773,3,5,WB-TR,438490,0.001962528055329556,23.028319210919957,0.038761000185994265,23
774,3,6,WB-ON,564289,0.0014933424048516584,26.78131847834696,0.04522811483186097,24
775,3,7,WB-SH,137390,0.0009026759009884071,33.70032959728112,0.05563255033805833,11
776,3,8,WB-UR,219914,0.0020303636638462487,22.631719449963377,0.037550984244127054,18
777,3,9,WB-SV,435817,0.0018058175781996125,23.65701987968137,0.039661467694928565,19
778,3,10,WB-ZC,429894,0.0021667144408199306,21.596945361519452,0.03589170420582149,24
779,3,11,WB-BD,242260,0.0020940568550059913,21.950468643931277,0.03696070096461118,17
780,3,12,WB-SC,109475,0.0018616486835139493,23.31938757163181,0.03864101414345749,10
781,3,13,WB-HN,134297,0.002088520725894892,22.030979363926065,0.03751215142477343,10
784,3,16,WB-LA,136655,0.002558408557714191,20.00003729915952,0.03364552933397758,10
785,3,17,WB-PT,130830,0.002339981486704875,20.94576609089286,0.03554769399010155,10
787,3,19,WB-OV,25032,0.0017996037155429037,23.822251220012312,0.040618918903231986,5
788,3,20,WB-BR,19893,0.0024252056257310223,20.43556840212719,0.034674920679388044,3
790,3,22,WB-GB,136209,0.06079231026852506,4.075772957581062,0.006809791672231306,10
1029,4,5,MC-TR,478103,8.576699476449042e-05,122.53206848681499,0.19550950071931447,27
1030,4,6,MC-ON,613831,6.728366982290936e-05,140.9972460797376,0.22736108472254107,28
1031,4,7,MC-SH,135001,4.0909326400132316e-05,167.14895797841794,0.27187650748126196,13
1032,4,8,MC-UR,225562,9.26493037657031e-05,113.11818953563986,0.18230332833522542,21
1033,4,9,MC-SV,458624,8.159318663699479e-05,119.72903946984549,0.1921337973213903,21
1034,4,10,MC-ZC,440347,9.69173685455018e-05,110.75090562081446,0.17922394674203285,26
1035,4,11,MC-BD,249719,9.36244714481671e-05,110.06903352236756,0.17677829069890938,19
1036,4,12,MC-SC,108991,8.701602036609882e-05,120.01289804419922,0.1949156647438018,10
1037,4,13,MC-HN,134212,9.512090440278417e-05,113.65015394274239,0.1833427927035084,10
1040,4,16,MC-LA,136582,0.00011782954586091384,103.09185000415256,0.16412153459124673,10
1041,4,17,MC-PT,130677,0.00010713833973273202,106.83994683140835,0.17225260239702714,10
1043,4,19,MC-OV,24701,8.55448250539124e-05,116.25811393266729,0.19688769874854076,5
1044,4,20,MC-BR,18962,0.00011149977795088463,101.24083493747986,0.16534939174392005,3
1046,4,22,MC-GB,136147,0.002831781653081927,20.685220319538736,0.033207597198756704,10
1286,5,6,TR-ON,509522,0.0001579487151159653,85.40544754498768,0.1408551256429367,27
1287,5,7,TR-SH,107624,0.00010024625111586416,101.97394243976248,0.16394383487096148,12
1288,5,8,TR-UR,183539,0.00022684794815615468,69.22801859303381,0.11251038926114726,21
1289,5,9,TR-SV,370502,0.00020206415747304292,71.50979230273241,0.11764012033641934,20
1290,5,10,TR-ZC,346179,0.0002392264653015622,66.0332092746419,0.10751955994068386,25
1291,5,11,TR-BD,211104,0.00022553591801046104,68.05545640714193,0.10976801481003012,18
1292,5,12,TR-SC,82588,0.00021508524540517682,69.6407774281742,0.1142976893846591,9
1293,5,13,TR-HN,102095,0.00023359238208937581,66.8621916148495,0.11004857355814278,9
1296,5,16,TR-LA,103860,0.0002953502025993251,60.83184116166174,0.09981059782494828,9
1297,5,17,TR-PT,98444,0.000258089206644392,64.38290608102825,0.10616066507117203,9
1299,5,19,TR-OV,8591,0.0002036995457536757,71.9293383968162,0.11677046927782186,4
1300,5,20,TR-BR,5440,0.0002672373311778596,62.21795296203379,0.09806331968776563,2
1302,5,22,TR-GB,103173,0.006917104144985668,12.227366102074033,0.020072275189367616,9
1543,6,7,ON-SH,135462,7.388862610340515e-05,119.49345240891603,0.20147405614999245,13
1544,6,8,ON-UR,229969,0.0001727953742486794,79.45834244362194,0.1301973668659679,22
1545,6,9,ON-SV,477961,0.0001538506361411228,82.73405493170911,0.13631353117049552,21
1546,6,10,ON-ZC,470581,0.00018237218101201615,76.46654678385929,0.12617065560606633,26
1547,6,11,ON-BD,242654,0.00017249268878323615,78.3286802146661,0.12805188598745826,19
