baseline_code,antenna_1,antenna_2,baseline,time_bin,start_hour,end_hour,complex_difference_count,adjacent_sigma_jy,published_triangle_flag,insufficient_pairs_flag,rfi_sensitive_baseline,log_sigma_robust_z,data_driven_rfi_flag,likelihood_excluded,exclusion_reason
258,1,2,EF-JB,0,0.0,0.5,23908,0.010615687295770558,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,1,0.5,1.0,20616,0.009690449027360297,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,2,1.0,1.5,22722,0.009599226613151457,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,3,1.5,2.0,23801,0.009914984468856395,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,4,2.0,2.5,26492,0.009652699730614396,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,5,2.5,3.0,22932,0.009472118991569332,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,6,3.0,3.5,25022,0.010812940514122618,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,7,3.5,4.0,11200,0.01025450189903689,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,8,4.0,4.5,26740,0.009892722264950601,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,9,4.5,5.0,5264,0.008891419006790338,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,10,5.0,5.5,26976,0.008689288659531466,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,11,5.5,6.0,19946,0.009206894982890826,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,12,6.0,6.5,17416,0.00897612427880498,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,13,6.5,7.0,23430,0.009795237323674684,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,14,7.0,7.5,26964,0.009465379363112675,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,15,7.5,8.0,13149,0.009520345041503191,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,16,8.0,8.5,18484,0.01010592618880743,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,17,8.5,9.0,24673,0.010107118722321461,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,18,9.0,9.5,26932,0.009453264013975777,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,19,9.5,10.0,25753,0.008989996317167572,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,20,10.0,10.5,26153,0.009085171887246727,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,21,10.5,11.0,26786,0.00904539571642982,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,22,11.0,11.5,24249,0.009293821705536992,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,23,11.5,12.0,26713,0.008664078413146183,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,24,12.0,12.5,7440,0.009150821694299857,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,25,12.5,13.0,26455,0.009203874824691108,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,26,13.0,13.5,26256,0.009654591845142894,True,False,False,0.0,False,True,published_triangle
258,1,2,EF-JB,27,13.5,14.0,25030,0.009318980730227756,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,4,2.0,2.5,17504,0.007916709881099257,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,5,2.5,3.0,26944,0.00782181899403847,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,6,3.0,3.5,26944,0.007788464136674999,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,7,3.5,4.0,26944,0.0076637754811611225,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,8,4.0,4.5,26912,0.0076034660187524776,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,9,4.5,5.0,5248,0.007533556172366706,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,10,5.0,5.5,26928,0.007502580827229643,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,11,5.5,6.0,20208,0.007584943020317324,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,12,6.0,6.5,26944,0.007278193133965323,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,13,6.5,7.0,26820,0.007341063030364228,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,14,7.0,7.5,26928,0.0073363680512662545,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,15,7.5,8.0,13089,0.007356162628819459,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,16,8.0,8.5,18624,0.007806356360145399,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,17,8.5,9.0,26836,0.007663987440544345,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,18,9.0,9.5,26852,0.007649714226287645,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,19,9.5,10.0,26751,0.007554564877883024,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,20,10.0,10.5,26813,0.007521567725658721,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,21,10.5,11.0,26758,0.0075499780312479935,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,22,11.0,11.5,26505,0.007648306051849305,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,23,11.5,12.0,26692,0.0077741008820909644,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,24,12.0,12.5,8816,0.00864852875011374,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,25,12.5,13.0,26395,0.008242320539702808,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,26,13.0,13.5,26179,0.008378770967919665,True,False,False,0.0,False,True,published_triangle
259,1,3,EF-WB,27,13.5,14.0,26624,0.008365530631462467,True,False,False,0.0,False,True,published_triangle
260,1,4,EF-MC,0,0.0,0.5,13204,0.05118955874491096,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,1,0.5,1.0,20163,0.05450344384343182,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,2,1.0,1.5,23001,0.051878469548755544,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,3,1.5,2.0,6629,0.03712548743005933,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,4,2.0,2.5,26003,0.037556600261686064,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,5,2.5,3.0,26154,0.03809658890411653,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,6,3.0,3.5,26544,0.037623727014506614,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,7,3.5,4.0,26592,0.036552011362581585,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,8,4.0,4.5,26498,0.03633137645849545,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,9,4.5,5.0,5216,0.0335197506984924,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,10,5.0,5.5,22960,0.03420282868608217,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,11,5.5,6.0,6414,0.03535461747735841,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,12,6.0,6.5,26512,0.034087810220111495,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,13,6.5,7.0,24620,0.034795912283674534,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,14,7.0,7.5,24579,0.035526328293573266,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,15,7.5,8.0,12819,0.042084173866265256,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,16,8.0,8.5,18259,0.03635702696240049,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,17,8.5,9.0,26360,0.03653109871131368,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,18,9.0,9.5,26484,0.04041423088392673,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,19,9.5,10.0,26362,0.036437525188527296,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,20,10.0,10.5,26416,0.04009579573698751,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,21,10.5,11.0,26384,0.03500102722675098,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,22,11.0,11.5,26170,0.03657900336945256,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,23,11.5,12.0,26398,0.03659896392606542,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,24,12.0,12.5,8704,0.039033947775487514,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,25,12.5,13.0,25930,0.04251820954297999,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,26,13.0,13.5,24848,0.037623809361800306,False,False,False,0.0,False,False,retained
260,1,4,EF-MC,27,13.5,14.0,24289,0.038633626713816295,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,0,0.0,0.5,23044,0.025297915354787866,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,1,0.5,1.0,11912,0.025382974395150373,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,2,1.0,1.5,22940,0.024677702760149425,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,3,1.5,2.0,23030,0.024152622848948622,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,4,2.0,2.5,22112,0.023671587689614634,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,5,2.5,3.0,22298,0.023545305976679066,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,6,3.0,3.5,23132,0.023435844013698394,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,7,3.5,4.0,23016,0.023084829271117005,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,8,4.0,4.5,22102,0.022917904919999694,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,9,4.5,5.0,4368,0.02262633917494035,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,10,5.0,5.5,23212,0.022379964344848926,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,11,5.5,6.0,16660,0.02258033221804721,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,12,6.0,6.5,22916,0.022125007502866067,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,13,6.5,7.0,22617,0.021996168129406073,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,14,7.0,7.5,22862,0.02200153308070325,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,15,7.5,8.0,10877,0.02188570005466374,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,16,8.0,8.5,15860,0.022099611303228923,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,17,8.5,9.0,22586,0.022094267183481082,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,18,9.0,9.5,22894,0.022135404811053354,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,19,9.5,10.0,22741,0.022415053686062603,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,20,10.0,10.5,22928,0.022160221264705657,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,21,10.5,11.0,22403,0.02213098017838221,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,22,11.0,11.5,20830,0.02232908225224867,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,23,11.5,12.0,22889,0.02256433800960524,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,24,12.0,12.5,7325,0.023141679257738086,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,25,12.5,13.0,4328,0.02297619825727342,False,False,False,0.0,False,False,retained
261,1,5,EF-TR,27,13.5,14.0,7281,0.023783404281646582,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,0,0.0,0.5,26920,0.02988143202216339,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,1,0.5,1.0,26976,0.030037674349607735,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,2,1.0,1.5,26899,0.02922651168225641,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,3,1.5,2.0,26589,0.0285668853056813,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,4,2.0,2.5,25904,0.028267853422070707,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,5,2.5,3.0,26976,0.02787607323760157,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,6,3.0,3.5,26934,0.02742452084559902,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,7,3.5,4.0,26904,0.02719792927687095,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,8,4.0,4.5,26530,0.026749990967853066,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,9,4.5,5.0,5260,0.02695964574718165,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,10,5.0,5.5,26976,0.026493633137809402,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,11,5.5,6.0,19994,0.02625323179857446,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,12,6.0,6.5,26814,0.02604161746227048,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,13,6.5,7.0,26884,0.025999032878281668,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,14,7.0,7.5,26950,0.02567930765845536,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,15,7.5,8.0,13149,0.025560012369280845,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,16,8.0,8.5,18158,0.025868065540712422,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,17,8.5,9.0,26884,0.025623742204406004,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,18,9.0,9.5,20580,0.025545921169393696,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,19,9.5,10.0,7682,0.025380488451985015,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,20,10.0,10.5,25117,0.025311955193954006,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,21,10.5,11.0,20118,0.025462485499401593,False,False,False,0.0,False,False,retained
262,1,6,EF-ON,22,11.0,11.5,26200,0.025447759713649758,False,False,False,0.0,False,False,retained
